,card_name,card_num,price,status
0,“自由を掴むため”アルミン(サイン入り),AOT/S50-001SP,"24,800 円",remaining:×
0,“背負った宿命”エレン(サイン入り),AOT/S50-002SP,"19,800 円",remaining:×
0,“静かなる激情”リヴァイ(サイン入り),AOT/S50-025SP,"12,800 円",remaining:×
0,“自由を掴むため”ハンジ(サイン入り),AOT/S50-026SP,"6,980 円",remaining:×
0,“女神の微笑”クリスタ(サイン入り),AOT/S50-051SP,"12,800 円",remaining:×
0,“抱く思い”ミカサ(サイン入り),AOT/S50-052SP,"14,800 円",remaining:×
0,“自由を掴むため”サシャ(サイン入り),AOT/S50-053SP,"9,980 円",remaining:×
0,“紅蓮の闘志”エレン,AOT/S50-003R,"1,980 円",remaining:2pcs
0,叫び,AOT/S50-022R,"1,480 円",remaining:8pcs
0,絶望を切り裂く刃,AOT/S50-048R,420 円,remaining:×
0,“自由を掴むため”ミカサ,AOT/S50-059R,"1,480 円",remaining:×
0,“命果てるまで”クリスタ,AOT/S50-060R,980 円,remaining:×
0,ありがとう・・・,AOT/S50-083R,"1,480 円",remaining:×
0,“一筋の光”アルミン,AOT/S50-004S,980 円,remaining:×
0,“自由を掴むため”エレン,AOT/S50-006S,500 円,remaining:×
0,打・投・極,AOT/S50-024S,180 円,remaining:×
0,“一筋の光”リヴァイ,AOT/S50-029S,320 円,remaining:×
0,“自由を掴むため”リヴァイ,AOT/S50-031S,320 円,remaining:×
0,“一筋の光”ミカサ,AOT/S50-054S,"1,780 円",remaining:1pcs
0,“命果てるまで”サシャ,AOT/S50-058S,180 円,remaining:×
0,私の名前・・・,AOT/S50-082S,"1,480 円",remaining:7pcs
0,獣の巨人,AOT/S50-086S,320 円,remaining:×
0,“再襲”鎧の巨人,AOT/S50-087S,320 円,remaining:×
0,“自由を掴むため”アルミン,AOT/S50-001,"2,480 円",remaining:◯
0,“背負った宿命”エレン,AOT/S50-002,"2,480 円",remaining:◯
0,“紅蓮の闘志”エレン,AOT/S50-003,680 円,remaining:◯
0,“静かなる激情”リヴァイ,AOT/S50-025,500 円,remaining:7pcs
0,“自由を掴むため”ハンジ,AOT/S50-026,180 円,remaining:◯
0,“女神の微笑”クリスタ,AOT/S50-051,980 円,remaining:◯
0,“抱く思い”ミカサ,AOT/S50-052,180 円,remaining:◯
0,“自由を掴むため”サシャ,AOT/S50-053,180 円,remaining:◯
0,“一筋の光”アルミン,AOT/S50-004,500 円,remaining:◯
0,“鋭敏な頭脳”アルミン,AOT/S50-005,120 円,remaining:7pcs
0,“自由を掴むため”エレン,AOT/S50-006,120 円,remaining:◯
0,“命果てるまで”アルミン,AOT/S50-007,80 円,remaining:◯
0,“一筋の光”エレン巨人,AOT/S50-008,180 円,remaining:◯
0,“命果てるまで”ハンジ,AOT/S50-027,80 円,remaining:◯
0,“命果てるまで”エルヴィン,AOT/S50-028,120 円,remaining:◯
0,“一筋の光”リヴァイ,AOT/S50-029,120 円,remaining:◯
0,“命果てるまで”リヴァイ,AOT/S50-030,80 円,remaining:◯
0,“自由を掴むため”リヴァイ,AOT/S50-031,120 円,remaining:◯
0,“一筋の光”ミカサ,AOT/S50-054,500 円,remaining:9pcs
0,“止まらぬ食欲”サシャ,AOT/S50-055,120 円,remaining:◯
0,“つかの間の休息”クリスタ,AOT/S50-056,120 円,remaining:◯
0,“夕陽を背に”ミカサ,AOT/S50-057,80 円,remaining:◯
0,“命果てるまで”サシャ,AOT/S50-058,80 円,remaining:◯
0,“自由を掴むため”ミカサ,AOT/S50-059,420 円,remaining:10pcs
0,“命果てるまで”クリスタ,AOT/S50-060,320 円,remaining:◯
0,“威力偵察”獣の巨人,AOT/S50-085,180 円,remaining:◯
0,獣の巨人,AOT/S50-086,180 円,remaining:◯
0,“再襲”鎧の巨人,AOT/S50-087,120 円,remaining:◯
0,“救援”エレン,AOT/S50-009,50 円,remaining:◯
0,“お掃除”エレン,AOT/S50-010,80 円,remaining:◯
0,“ラガコ村出身”コニー,AOT/S50-011,80 円,remaining:◯
0,“快進撃”エレン巨人,AOT/S50-012,80 円,remaining:3pcs
0,“あの日の記憶”アニ,AOT/S50-013A,50 円,remaining:8pcs
0,“あの日の記憶”アニ,AOT/S50-013B,50 円,remaining:◯
0,対巨人戦用『立体機動装置』,AOT/S50-020,120 円,remaining:◯
0,座標,AOT/S50-021,50 円,remaining:◯
0,ニック司祭,AOT/S50-032,50 円,remaining:◯
0,“未知の解明”ハンジ,AOT/S50-033,50 円,remaining:◯
0,“自由を掴むため”エルヴィン,AOT/S50-034,50 円,remaining:◯
0,“お掃除”リヴァイ,AOT/S50-035,50 円,remaining:2pcs
0,“夕陽を背に”リヴァイ,AOT/S50-036,50 円,remaining:◯
