,card_name,card_num,price,status
0,“君と旅する時の魔法”立夏(サイン入り),DC3/WE36-01SP,"17,800 円",remaining:1pcs
0,“君と旅する時の魔法”シャルル(サイン入り),DC3/WE36-07SP,"6,980 円",remaining:4pcs
0,“君と旅する時の魔法”姫乃(サイン入り),DC3/WE36-13SP,"5,980 円",remaining:5pcs
0,“君と旅する時の魔法”さら(サイン入り),DC3/WE36-19SP,"6,980 円",remaining:5pcs
0,“君と旅する時の魔法”葵(サイン入り),DC3/WE36-25SP,"5,980 円",remaining:6pcs
0,“君と旅する時の魔法”立夏,DC3/WE36-01S,"1,480 円",remaining:×
0,潤んだ瞳 立夏,DC3/WE36-02S,420 円,remaining:3pcs
0,ふたつの世界の物語 立夏,DC3/WE36-03S,780 円,remaining:◯
0,ふたつの世界の物語 リッカ,DC3/WE36-04S,220 円,remaining:◯
0,桜の研究 リッカ,DC3/WE36-05S,180 円,remaining:◯
0,With You,DC3/WE36-06S,320 円,remaining:9pcs
0,“君と旅する時の魔法”シャルル,DC3/WE36-07S,420 円,remaining:◯
0,食欲の秋 シャルル,DC3/WE36-08S,220 円,remaining:◯
0,雪の日の登校 シャルル,DC3/WE36-09S,220 円,remaining:◯
0,しあわせな時間 シャルル,DC3/WE36-10S,180 円,remaining:◯
0,大はしゃぎ！ シャルル,DC3/WE36-11S,320 円,remaining:◯
0,浜辺のお願い シャルル,DC3/WE36-12S,320 円,remaining:◯
0,“君と旅する時の魔法”姫乃,DC3/WE36-13S,680 円,remaining:◯
0,初夏の夢 姫乃,DC3/WE36-14S,220 円,remaining:◯
0,ガチガチ 姫乃,DC3/WE36-15S,180 円,remaining:◯
0,共に歩む未来 姫乃,DC3/WE36-16S,220 円,remaining:◯
0,表彰式 姫乃,DC3/WE36-17S,180 円,remaining:◯
0,まるでハネムーンのように 姫乃,DC3/WE36-18S,180 円,remaining:◯
0,“君と旅する時の魔法”さら,DC3/WE36-19S,680 円,remaining:7pcs
0,聖夜の輝き さら,DC3/WE36-20S,180 円,remaining:◯
0,大切な人の隣に さら,DC3/WE36-21S,220 円,remaining:◯
0,涙尽きるまで… サラ,DC3/WE36-22S,220 円,remaining:◯
0,とびっきりの笑顔 サラ,DC3/WE36-23S,180 円,remaining:◯
0,未来の花嫁さん サラ,DC3/WE36-24S,180 円,remaining:◯
0,“君と旅する時の魔法”葵,DC3/WE36-25S,500 円,remaining:◯
0,とっても幸せ 葵,DC3/WE36-26S,180 円,remaining:◯
