,card_name,card_num,price,status
0,“乙女の思い込み”フーカ(サイン入り),DG/SE08-02,"3,980 円",remaining:×
0,悪の美学 ヴァルバトーゼ(サイン入り),DG/SE08-26,"2,480 円",remaining:×
0,ヴァル様の参謀 フェンリッヒ(サイン入り),DG/SE08-28,"1,980 円",remaining:×
0,“最終兵器DESCO”(サイン入り),DG/SE08-39,"6,980 円",remaining:×
0,プリニー殲滅部隊のリーダー フーカ,DG/SE08-01,120 円,remaining:◯
0,“乙女の思い込み”フーカ,DG/SE08-02,120 円,remaining:◯
0,死神 エミーゼル,DG/SE08-03,120 円,remaining:◯
0,風祭 フーカ,DG/SE08-04,180 円,remaining:◯
0,怪盗天使 アルティナ,DG/SE08-14,180 円,remaining:◯
0,天使長 フロン,DG/SE08-15,120 円,remaining:5pcs
0,神出鬼没 アルティナ,DG/SE08-16,80 円,remaining:◯
0,プリニーの世話係 フェンリッヒ,DG/SE08-24,120 円,remaining:◯
0,“イワシのチカラ”ヴァルバトーゼ,DG/SE08-25,220 円,remaining:◯
0,悪の美学 ヴァルバトーゼ,DG/SE08-26,180 円,remaining:◯
0,暴君 ヴァルバトーゼ,DG/SE08-27,120 円,remaining:◯
0,ヴァル様の参謀 フェンリッヒ,DG/SE08-28,120 円,remaining:◯
0,ラスボスを目指す乙女 デスコ,DG/SE08-37,680 円,remaining:×
0,夢見がちでファンシー デスコ,DG/SE08-38,120 円,remaining:◯
0,“最終兵器DESCO”,DG/SE08-39,320 円,remaining:◯
0,“おねえさま”フーカ,DG/SE08-05,80 円,remaining:◯
0,生意気なお坊ちゃん エミーゼル,DG/SE08-06,50 円,remaining:◯
0,特殺任務部隊のリーダー エミーゼル,DG/SE08-07,50 円,remaining:◯
0,プリニー帽子の少女 フーカ,DG/SE08-08,80 円,remaining:◯
0,地獄に堕ちてきた中学生 フーカ,DG/SE08-09,80 円,remaining:◯
0,魔界大統領Jr エミーゼル,DG/SE08-10,50 円,remaining:◯
0,ラズベリル大統領閣下,DG/SE08-11,50 円,remaining:◯
0,看護師 アルティナ,DG/SE08-17,50 円,remaining:◯
0,断罪者 ネモ,DG/SE08-18,80 円,remaining:10pcs
0,“業欲の天使”ブルカノ(?),DG/SE08-19,50 円,remaining:◯
0,ナイスバディ・エトナ,DG/SE08-20,80 円,remaining:◯
0,天界からの密入界者 アルティナ,DG/SE08-21,80 円,remaining:◯
0,超合金ロボ グレートフロンガーX,DG/SE08-22,50 円,remaining:◯
0,プリニーの教育係 ヴァルバトーゼ,DG/SE08-29,220 円,remaining:◯
0,人狼族の執事 フェンリッヒ,DG/SE08-30,220 円,remaining:◯
0,絶対の忠誠 フェンリッヒ,DG/SE08-31,220 円,remaining:×
0,魔王ラハール大統領閣下,DG/SE08-32,80 円,remaining:◯
0,誇り高き悪魔 ヴァルバトーゼ,DG/SE08-33,120 円,remaining:◯
0,神への反逆者 ヴァルバトーゼ,DG/SE08-34,220 円,remaining:◯
0,特別房のヌシ デスコ,DG/SE08-40,80 円,remaining:◯
0,第62代魔界大統領 アクターレ,DG/SE08-41,180 円,remaining:6pcs
0,地獄の獄長 アクターレ,DG/SE08-42,50 円,remaining:◯
0,ラスボス修行 デスコ,DG/SE08-43,80 円,remaining:◯
0,“パーフェクトバージョン”デスゼット,DG/SE08-44,50 円,remaining:◯
0,プリニー・ウォーズ,DG/SE08-12,80 円,remaining:◯
0,不死鳥の誓い,DG/SE08-13,80 円,remaining:◯
0,悪魔と天使の絆,DG/SE08-23,80 円,remaining:◯
0,『絆』のチカラ,DG/SE08-35,320 円,remaining:1pcs
0,月の誓い,DG/SE08-36,320 円,remaining:7pcs
0,最終兵器、現る,DG/SE08-45,220 円,remaining:◯
0,プリニー殲滅部隊のリーダー フーカ(ホロ),DG/SE08-01,120 円,remaining:8pcs
0,“乙女の思い込み”フーカ(ホロ),DG/SE08-02,120 円,remaining:◯
0,死神 エミーゼル(ホロ),DG/SE08-03,120 円,remaining:◯
0,風祭 フーカ(ホロ),DG/SE08-04,220 円,remaining:◯
0,怪盗天使 アルティナ(ホロ),DG/SE08-14,180 円,remaining:◯
0,天使長 フロン(ホロ),DG/SE08-15,120 円,remaining:◯
0,神出鬼没 アルティナ(ホロ),DG/SE08-16,120 円,remaining:◯
0,プリニーの世話係 フェンリッヒ(ホロ),DG/SE08-24,120 円,remaining:◯
0,“イワシのチカラ”ヴァルバトーゼ(ホロ),DG/SE08-25,420 円,remaining:◯
0,悪の美学 ヴァルバトーゼ(ホロ),DG/SE08-26,180 円,remaining:◯
0,暴君 ヴァルバトーゼ(ホロ),DG/SE08-27,120 円,remaining:◯
0,ヴァル様の参謀 フェンリッヒ(ホロ),DG/SE08-28,120 円,remaining:◯
0,ラスボスを目指す乙女 デスコ(ホロ),DG/SE08-37,780 円,remaining:×
0,夢見がちでファンシー デスコ(ホロ),DG/SE08-38,120 円,remaining:8pcs
0,“最終兵器DESCO”(ホロ),DG/SE08-39,580 円,remaining:◯
0,“おねえさま”フーカ(ホロ),DG/SE08-05,80 円,remaining:10pcs
0,生意気なお坊ちゃん エミーゼル(ホロ),DG/SE08-06,50 円,remaining:◯
0,特殺任務部隊のリーダー エミーゼル(ホロ),DG/SE08-07,50 円,remaining:◯
0,プリニー帽子の少女 フーカ(ホロ),DG/SE08-08,80 円,remaining:◯
0,地獄に堕ちてきた中学生 フーカ(ホロ),DG/SE08-09,80 円,remaining:2pcs
0,魔界大統領Jr エミーゼル(ホロ),DG/SE08-10,50 円,remaining:◯
0,ラズベリル大統領閣下(ホロ),DG/SE08-11,50 円,remaining:◯
0,看護師 アルティナ(ホロ),DG/SE08-17,50 円,remaining:◯
0,断罪者 ネモ(ホロ),DG/SE08-18,80 円,remaining:◯
0,“業欲の天使”ブルカノ(?)(ホロ),DG/SE08-19,50 円,remaining:◯
0,ナイスバディ・エトナ(ホロ),DG/SE08-20,80 円,remaining:◯
0,天界からの密入界者 アルティナ(ホロ),DG/SE08-21,80 円,remaining:◯
0,超合金ロボ グレートフロンガーX(ホロ),DG/SE08-22,50 円,remaining:◯
0,プリニーの教育係 ヴァルバトーゼ(ホロ),DG/SE08-29,220 円,remaining:8pcs
0,人狼族の執事 フェンリッヒ(ホロ),DG/SE08-30,220 円,remaining:◯
0,絶対の忠誠 フェンリッヒ(ホロ),DG/SE08-31,320 円,remaining:3pcs
0,魔王ラハール大統領閣下(ホロ),DG/SE08-32,120 円,remaining:◯
0,誇り高き悪魔 ヴァルバトーゼ(ホロ),DG/SE08-33,120 円,remaining:◯
0,神への反逆者 ヴァルバトーゼ(ホロ),DG/SE08-34,220 円,remaining:×
0,特別房のヌシ デスコ(ホロ),DG/SE08-40,80 円,remaining:5pcs
0,第62代魔界大統領 アクターレ(ホロ),DG/SE08-41,180 円,remaining:1pcs
0,地獄の獄長 アクターレ(ホロ),DG/SE08-42,50 円,remaining:◯
0,ラスボス修行 デスコ(ホロ),DG/SE08-43,120 円,remaining:4pcs
0,“パーフェクトバージョン”デスゼット(ホロ),DG/SE08-44,50 円,remaining:◯
0,プリニー・ウォーズ(ホロ),DG/SE08-12,120 円,remaining:◯
0,不死鳥の誓い(ホロ),DG/SE08-13,80 円,remaining:◯
0,悪魔と天使の絆(ホロ),DG/SE08-23,80 円,remaining:◯
0,『絆』のチカラ(ホロ),DG/SE08-35,420 円,remaining:5pcs
0,月の誓い(ホロ),DG/SE08-36,320 円,remaining:1pcs
0,最終兵器、現る(ホロ),DG/SE08-45,220 円,remaining:3pcs
0,地獄の反逆者,DG/SE08-46,320 円,remaining:2pcs
0,プレネールさん,DG/SE08-47,320 円,remaining:◯
0,史上最弱の主人公 プリニー,DG/SE08-48,320 円,remaining:◯
0,パーソナリティ フーカ,DG/SE08-49,"3,980 円",remaining:×
0,“スッポンパワー”フーカ,DG/SE08-50,"3,980 円",remaining:×
0,仙丹で回復中 フーカ,DG/SE08-51,"3,980 円",remaining:3pcs
0,夢の中でも奮闘中 フーカ,DG/SE08-52,"4,980 円",remaining:×
0,魔界戦記ディスガイア4×日本一RADIO,DG/SE08-53,"4,980 円",remaining:×
