,card_name,card_num,price,status
0,“我が神はここにありて”ルーラー(サイン入り),APO/S53-002SP,"12,800 円",remaining:×
0,“受け継ぐ祈り”ジーク(サイン入り),APO/S53-003SP,"3,480 円",remaining:×
0,“聖杯大戦”シロウ(サイン入り),APO/S53-026SP,"3,980 円",remaining:×
0,“最後の一閃”赤のセイバー(サイン入り),APO/S53-028SP,"12,800 円",remaining:×
0,“花と散る”黒のバーサーカー(サイン入り),APO/S53-063SP,"4,980 円",remaining:×
0,“差し出す手”黒のライダー(サイン入り),APO/S53-064SP,"7,980 円",remaining:×
0,“殺戮”黒のアサシン(サイン入り),APO/S53-066SP,"5,980 円",remaining:×
0,“歩き出す運命”ルーラー(サイン入り),APO/S53-T14SP,"14,800 円",remaining:×
0,我が神はここにありて,APO/S53-023R,500 円,remaining:×
0,燦然と輝く王剣,APO/S53-059R,980 円,remaining:◯
0,空中庭園,APO/S53-060R,500 円,remaining:1pcs
0,マスターの命令,APO/S53-097R,680 円,remaining:◯
0,磔刑の雷樹,APO/S53-098R,420 円,remaining:1pcs
0,“真名”黒のライダー,APO/S53-T13R,"1,480 円",remaining:×
0,“狂化”黒のバーサーカー,APO/S53-T16R,680 円,remaining:4pcs
0,“意志”黒のセイバー,APO/S53-T18R,580 円,remaining:5pcs
0,“聖女”ルーラー,APO/S53-001S,420 円,remaining:3pcs
0,“紅蓮の聖女”ルーラー,APO/S53-007S,580 円,remaining:1pcs
0,“自信満々”赤のセイバー,APO/S53-027S,420 円,remaining:×
0,“不貞隠しの兜”赤のセイバー,APO/S53-029S,500 円,remaining:×
0,“再戦の約束”赤のランサー,APO/S53-031S,220 円,remaining:×
0,“決戦”赤のライダー,APO/S53-033S,320 円,remaining:×
0,“玉座の間”赤のアサシン,APO/S53-034S,320 円,remaining:×
0,“真名解放”黒のライダー,APO/S53-065S,500 円,remaining:×
0,“凶行”黒のアサシン,APO/S53-068S,580 円,remaining:4pcs
0,フィオレ・フォルヴェッジ・ユグドミレニア,APO/S53-069S,320 円,remaining:1pcs
0,“唸り”黒のバーサーカー,APO/S53-070S,320 円,remaining:1pcs
0,“聖剣”黒のセイバー,APO/S53-074S,320 円,remaining:×
0,“宣戦布告”赤のランサー,APO/S53-T03S,180 円,remaining:2pcs
0,“聖杯大戦”赤のセイバー,APO/S53-T08S,180 円,remaining:4pcs
0,“聖女”ルーラー,APO/S53-001,220 円,remaining:1pcs
0,“我が神はここにありて”ルーラー,APO/S53-002,220 円,remaining:×
0,“受け継ぐ祈り”ジーク,APO/S53-003,120 円,remaining:◯
0,“聖杯大戦”シロウ,APO/S53-026,120 円,remaining:◯
0,“自信満々”赤のセイバー,APO/S53-027,220 円,remaining:×
0,“最後の一閃”赤のセイバー,APO/S53-028,580 円,remaining:◯
0,“花と散る”黒のバーサーカー,APO/S53-063,680 円,remaining:◯
0,“差し出す手”黒のライダー,APO/S53-064,500 円,remaining:◯
0,“真名解放”黒のライダー,APO/S53-065,180 円,remaining:◯
0,“殺戮”黒のアサシン,APO/S53-066,220 円,remaining:6pcs
0,“遠い約束”ルーラー,APO/S53-004,80 円,remaining:◯
0,“マスターの資格”ジーク,APO/S53-005,320 円,remaining:◯
0,“裁定者”ルーラー,APO/S53-006,120 円,remaining:◯
0,“紅蓮の聖女”ルーラー,APO/S53-007,180 円,remaining:◯
0,“邪竜”ファヴニール,APO/S53-008,220 円,remaining:◯
0,“不貞隠しの兜”赤のセイバー,APO/S53-029,320 円,remaining:◯
0,“人類救済”シロウ・コトミネ,APO/S53-030,180 円,remaining:◯
0,“再戦の約束”赤のランサー,APO/S53-031,120 円,remaining:◯
0,“不死の祝福”赤のライダー,APO/S53-032,80 円,remaining:9pcs
0,“決戦”赤のライダー,APO/S53-033,120 円,remaining:◯
0,“玉座の間”赤のアサシン,APO/S53-034,120 円,remaining:◯
0,“円卓の騎士”赤のセイバー,APO/S53-035,120 円,remaining:◯
0,“外典”シロウ,APO/S53-036,80 円,remaining:◯
0,“魔獣の力”赤のアーチャー,APO/S53-037,120 円,remaining:◯
0,“戦闘態勢”黒のバーサーカー,APO/S53-067,80 円,remaining:◯
0,“凶行”黒のアサシン,APO/S53-068,120 円,remaining:8pcs
0,フィオレ・フォルヴェッジ・ユグドミレニア,APO/S53-069,120 円,remaining:◯
0,“唸り”黒のバーサーカー,APO/S53-070,120 円,remaining:◯
0,“決戦”黒のアーチャー,APO/S53-071,120 円,remaining:◯
0,“極刑王”黒のランサー,APO/S53-072,80 円,remaining:◯
0,“決戦前”黒のライダー,APO/S53-073,80 円,remaining:◯
0,“聖剣”黒のセイバー,APO/S53-074,80 円,remaining:◯
0,“大聖杯の元へ”ルーラー,APO/S53-009,50 円,remaining:◯
0,“聖杯大戦”ジーク,APO/S53-010,50 円,remaining:◯
0,“令呪をもって”ルーラー,APO/S53-011,50 円,remaining:◯
0,“英雄の憑依”ジーク,APO/S53-012,50 円,remaining:◯
0,ロード・エルメロイII世,APO/S53-013,50 円,remaining:◯
0,“鮮血の伝承”ドラキュラ,APO/S53-014,50 円,remaining:◯
0,大聖杯,APO/S53-022,50 円,remaining:◯
0,“興味津々”赤のキャスター,APO/S53-038,50 円,remaining:◯
0,“嫣然とした笑み”赤のアサシン,APO/S53-039,80 円,remaining:◯
0,“咄嗟の判断”赤のセイバー,APO/S53-040,80 円,remaining:◯
0,獅子劫界離,APO/S53-041,50 円,remaining:◯
0,“令呪”赤のセイバー,APO/S53-042,80 円,remaining:◯
0,“黄金の鎧”赤のランサー,APO/S53-043,80 円,remaining:◯
0,“変化”赤のアーチャー,APO/S53-044,50 円,remaining:◯
0,“女帝”赤のアサシン,APO/S53-045,50 円,remaining:◯
0,ふたつのタバコ,APO/S53-057A,50 円,remaining:◯
0,ふたつのタバコ,APO/S53-057B,80 円,remaining:6pcs
0,三池典太,APO/S53-058,50 円,remaining:◯
0,六導玲霞,APO/S53-075,50 円,remaining:◯
0,“英霊”黒のセイバー,APO/S53-076,80 円,remaining:◯
0,“毒霧”黒のアサシン,APO/S53-077,50 円,remaining:◯
0,“十二勇士”黒のライダー,APO/S53-078,50 円,remaining:◯
0,ゴルド・ムジーク・ユグドミレニア,APO/S53-079,50 円,remaining:◯
0,“大満足”黒のバーサーカー,APO/S53-080,50 円,remaining:◯
0,王冠：叡智の光,APO/S53-081,50 円,remaining:◯
0,カウレス・フォルヴェッジ・ユグドミレニア,APO/S53-082,50 円,remaining:◯
0,“二つ重ねて”黒のアサシン,APO/S53-083,50 円,remaining:◯
0,恐慌呼び起こせし魔笛,APO/S53-095,50 円,remaining:◯
0,託されし盾,APO/S53-096,50 円,remaining:9pcs
0,ジル・ド・レェ,APO/S53-015,30 円,remaining:◯
0,“騎士王”アルトリア,APO/S53-016,30 円,remaining:◯
0,“空中庭園へ”ルーラー,APO/S53-017,30 円,remaining:◯
0,レティシア,APO/S53-018,50 円,remaining:◯
0,“外典”ジーク,APO/S53-019,30 円,remaining:◯
0,“竜告令呪”ジーク,APO/S53-020,30 円,remaining:◯
0,“鏡の中の自分”ルーラー,APO/S53-021,30 円,remaining:◯
0,“天穹の弓”赤のアーチャー,APO/S53-046,30 円,remaining:◯
0,“令呪を以て”獅子劫界離,APO/S53-047,30 円,remaining:◯
0,“疵獣の咆吼”赤のバーサーカー,APO/S53-048,30 円,remaining:◯
0,“庭園の中で”赤のアサシン,APO/S53-049,30 円,remaining:◯
0,“理想の成就”シロウ,APO/S53-050,30 円,remaining:◯
0,“狩人”赤のアーチャー,APO/S53-051,30 円,remaining:◯
0,“劇作家”赤のキャスター,APO/S53-052,30 円,remaining:◯
0,“防御”赤のランサー,APO/S53-053,30 円,remaining:◯
