,card_name,card_num,price,status
0,仲間の力 ナツ(サイン入り),FT/SE10-28,"6,980 円",remaining:×
0,ウェンディ・マーベル(サイン入り),FT/SE10-35,"24,800 円",remaining:×
0,妖精の尻尾の魔導士 ジュビア(サイン入り),FT/SE10-36,"4,980 円",remaining:×
0,天空の滅竜魔導士 ウェンディ(サイン入り),FT/SE10-38,"24,800 円",remaining:×
0,幼き日のジェラール,FT/SE10-01,420 円,remaining:1pcs
0,愛する友と共に エルザ,FT/SE10-02,120 円,remaining:◯
0,幼き日のエルザ,FT/SE10-03,420 円,remaining:6pcs
0,ラクサス・ドレアー,FT/SE10-04,120 円,remaining:1pcs
0,“悠遠の衣”エルザ,FT/SE10-05,80 円,remaining:◯
0,星霊魔導士 エンジェル,FT/SE10-15,80 円,remaining:×
0,美しき絆 ルーシィ,FT/SE10-16,80 円,remaining:×
0,ネコマンダーのハッピー,FT/SE10-25,120 円,remaining:4pcs
0,ドラゴンフォース ナツ,FT/SE10-26,500 円,remaining:3pcs
0,オレたちの帰る場所 ナツ,FT/SE10-27,180 円,remaining:7pcs
0,仲間の力 ナツ,FT/SE10-28,120 円,remaining:4pcs
0,ウェンディ・マーベル,FT/SE10-35,120 円,remaining:2pcs
0,妖精の尻尾の魔導士 ジュビア,FT/SE10-36,80 円,remaining:×
0,“治癒魔法”ウェンディ,FT/SE10-37,120 円,remaining:3pcs
0,天空の滅竜魔導士 ウェンディ,FT/SE10-38,220 円,remaining:4pcs
0,“セイズ魔法【人形憑】”ビックスロー,FT/SE10-06,80 円,remaining:3pcs
0,“石化眼”エバーグリーン,FT/SE10-07,80 円,remaining:◯
0,“香り魔法”一夜,FT/SE10-08,180 円,remaining:◯
0,小さな妖精 レビィ,FT/SE10-09,50 円,remaining:×
0,“闇の文字”フリード,FT/SE10-10,50 円,remaining:×
0,とっておきの換装 エルザ,FT/SE10-11,80 円,remaining:4pcs
0,ラクサスの“じーじ”マカロフ,FT/SE10-12,120 円,remaining:◯
0,楽園の塔の支配者 ジェラール,FT/SE10-13,50 円,remaining:×
0,“合体魔法”ルーシィ,FT/SE10-17,680 円,remaining:◯
0,大切な友達と共に ルーシィ,FT/SE10-18,80 円,remaining:4pcs
0,あたしの決意 ルーシィ,FT/SE10-19,180 円,remaining:8pcs
0,黄道十二門の星霊,FT/SE10-20GEM,680 円,remaining:×
