,card_name,card_num,price,status
0,お姉さまの露払い 黒子(サイン入り),ID/W13-004SP,"2,980 円",remaining:×
0,異能の右手を持つ男 当麻(サイン入り),ID/W13-007SP,"1,980 円",remaining:×
0,銀髪碧眼のシスターさん(サイン入り),ID/W13-077SP,"4,980 円",remaining:×
0,水辺の佐天(サイン入り),RG/W13-027SP,"9,980 円",remaining:×
0,佐天のクラスメイト 初春(サイン入り),RG/W13-028SP,"2,480 円",remaining:×
0,勝気な女の子 美琴(サイン入り),RG/W13-055SP,"5,980 円",remaining:×
0,“お姉さま”美琴,ID/W13-002R,180 円,remaining:×
0,“Dedicatus545”インデックス,ID/W13-076R,180 円,remaining:×
0,裏打ちされた自信 美琴,RG/W13-051R,180 円,remaining:×
0,常盤台のお嬢様 黒子,RG/W13-056R,500 円,remaining:×
0,チア衣装の小萌,ID/W13-003S,420 円,remaining:3pcs
0,いつも賑やか 当麻&インデックス,ID/W13-081S,180 円,remaining:4pcs
0,不思議シスター インデックス,ID/W13-082S,180 円,remaining:×
0,“精神感応”春上,RG/W13-026S,180 円,remaining:4pcs
0,水辺の初春,RG/W13-030S,220 円,remaining:3pcs
0,一つ屋根の下 美琴&黒子,RG/W13-052S,"4,980 円",remaining:×
0,裏社会に生きる少年 一方通行,ID/W13-001,120 円,remaining:◯
0,“お姉さま”美琴,ID/W13-002,120 円,remaining:◯
0,“Dedicatus545”インデックス,ID/W13-076,120 円,remaining:8pcs
0,銀髪碧眼のシスターさん,ID/W13-077,120 円,remaining:2pcs
0,“精神感応”春上,RG/W13-026,120 円,remaining:◯
0,水辺の佐天,RG/W13-027,220 円,remaining:4pcs
0,裏打ちされた自信 美琴,RG/W13-051,120 円,remaining:◯
0,一つ屋根の下 美琴&黒子,RG/W13-052,"1,480 円",remaining:◯
0,チア衣装の小萌,ID/W13-003,120 円,remaining:1pcs
0,お姉さまの露払い 黒子,ID/W13-004,120 円,remaining:◯
0,美琴の妹 ミサカ,ID/W13-005,120 円,remaining:3pcs
0,インデックスの保護者 当麻,ID/W13-006,120 円,remaining:◯
0,異能の右手を持つ男 当麻,ID/W13-007,120 円,remaining:◯
0,チア衣装のインデックス,ID/W13-078,120 円,remaining:×
0,オルソラ=アクィナス,ID/W13-079,500 円,remaining:×
