,card_name,card_num,price,status
0,どうにもとまらないマコ(サイン入り),KLK/S27-002SP,"9,980 円",remaining:×
0,運命の糸車 縫(サイン入り),KLK/S27-022SP,"6,980 円",remaining:×
0,決めて着るから決着!流子(サイン入り),KLK/S27-042SP,"59,800 円",remaining:×
0,守りたい世界のために 皐月(サイン入り),KLK/S27-072SP,"17,800 円",remaining:×
0,流浪の女子高生 流子(サイン入り),KLK/S27-T16SP,"49,800 円",remaining:×
0,心配するマコ,KLK/S27-003R,320 円,remaining:×
0,だから、今度は私の番!,KLK/S27-019R,220 円,remaining:×
0,ハサミの持ち主 縫,KLK/S27-024R,220 円,remaining:2pcs
0,不意打ちの告白,KLK/S27-039R,320 円,remaining:6pcs
0,新しい自分へ 流子,KLK/S27-041R,980 円,remaining:×
0,セーラー服とは卒業するものだ,KLK/S27-068R,"3,980 円",remaining:×
0,野望を抱く皐月,KLK/S27-071R,320 円,remaining:×
0,本能字学園へ,KLK/S27-097R,420 円,remaining:×
0,“超”ド天然少女 マコ,KLK/S27-T18R,220 円,remaining:×
0,“親友”流子&マコ,KLK/S27-T19R,420 円,remaining:×
0,闇医者の娘のはしくれ マコ,KLK/S27-001S,220 円,remaining:×
0,2年甲組 流子,KLK/S27-006S,180 円,remaining:×
0,身をかわす縫,KLK/S27-025S,180 円,remaining:4pcs
0,流子の一張羅 鮮血,KLK/S27-045S,780 円,remaining:×
0,鮮血との出会い 流子,KLK/S27-046S,"1,480 円",remaining:×
0,純潔,KLK/S27-066S,680 円,remaining:2pcs
0,決戦を前に皐月,KLK/S27-073S,180 円,remaining:×
0,純潔,KLK/S27-095S,680 円,remaining:×
0,“親友”流子&マコ,KLK/S27-T19S,180 円,remaining:×
0,闇医者の娘のはしくれ マコ,KLK/S27-001,180 円,remaining:◯
0,どうにもとまらないマコ,KLK/S27-002,980 円,remaining:◯
0,繭星降誕を謀る羅暁,KLK/S27-021,180 円,remaining:◯
0,運命の糸車 縫,KLK/S27-022,120 円,remaining:◯
0,新しい自分へ 流子,KLK/S27-041,420 円,remaining:10pcs
0,決めて着るから決着!流子,KLK/S27-042,680 円,remaining:×
0,野望を抱く皐月,KLK/S27-071,120 円,remaining:◯
0,守りたい世界のために 皐月,KLK/S27-072,220 円,remaining:◯
0,心配するマコ,KLK/S27-003,120 円,remaining:10pcs
0,喧嘩部部長 マコ,KLK/S27-004,80 円,remaining:◯
0,大阪観光 マコ,KLK/S27-005,120 円,remaining:◯
