,card_name,card_num,price,status
0,【先攻】しろくろフェス2019,-,980 円,remaining:×
0,【後攻】しろくろフェス2019,-,980 円,remaining:×
0,【先攻】ラブライブ!,-,320 円,remaining:◯
0,【後攻】ラブライブ!サンシャイン!!,-,320 円,remaining:◯
0,【先攻】この素晴らしい世界に祝福を!2(アクア),-,420 円,remaining:×
0,【後攻】この素晴らしい世界に祝福を!2(アクア),-,420 円,remaining:×
0,【先攻】この素晴らしい世界に祝福を!2(めぐみん),-,500 円,remaining:×
0,【後攻】この素晴らしい世界に祝福を!2(めぐみん),-,500 円,remaining:×
0,【先攻】この素晴らしい世界に祝福を!2(ダクネス),-,320 円,remaining:×
0,【後攻】この素晴らしい世界に祝福を!2(ダクネス),-,320 円,remaining:×
0,【先攻】この素晴らしい世界に祝福を!2(クリス),-,320 円,remaining:5pcs
0,【後攻】この素晴らしい世界に祝福を!2(クリス),-,180 円,remaining:10pcs
0,【先攻】この素晴らしい世界に祝福を!2(ウィズ),-,320 円,remaining:6pcs
0,【後攻】この素晴らしい世界に祝福を!2(ウィズ),-,180 円,remaining:◯
0,【先攻】この素晴らしい世界に祝福を!2(ゆんゆん),-,320 円,remaining:1pcs
0,【後攻】この素晴らしい世界に祝福を!2(ゆんゆん),-,320 円,remaining:2pcs
0,【先攻】この素晴らしい世界に祝福を!2(カズマ),-,320 円,remaining:×
0,【先攻】痛いのは嫌なので防御力に極振りしたいと思います。,-,500 円,remaining:×
0,【後攻】痛いのは嫌なので防御力に極振りしたいと思います。,-,500 円,remaining:×
0,【先攻】劇場版「Fate/stay night [Heaven’s Feel]」,-,780 円,remaining:×
0,【後攻】劇場版「Fate/stay night [Heaven’s Feel]」,-,780 円,remaining:×
0,【先攻】かぐや様は告らせたい,-,780 円,remaining:×
0,【後攻】かぐや様は告らせたい,-,420 円,remaining:×
0,【先攻】プリンセスコネクト Re:Dive,-,420 円,remaining:1pcs
0,【後攻】プリンセスコネクト Re:Dive,-,320 円,remaining:4pcs
0,【先攻】彼女、お借りします,-,780 円,remaining:×
0,【後攻】彼女、お借りします,-,780 円,remaining:×
0,【先攻】ソードアート・オンライン -アリシゼーション-,-,420 円,remaining:×
0,【後攻】ソードアート・オンライン -アリシゼーション-,-,320 円,remaining:×
0,【先攻】アイドルマスター シャイニーカラーズ,-,420 円,remaining:7pcs
0,【後攻】アイドルマスター シャイニーカラーズ,-,420 円,remaining:5pcs
0,【先攻】転生したらスライムだった件,-,500 円,remaining:×
0,【後攻】転生したらスライムだった件,-,500 円,remaining:×
0,【先攻】アサルトリリィ BOUQUET,-,680 円,remaining:×
0,【後攻】アサルトリリィ BOUQUET,-,680 円,remaining:×
0,【先攻】ラブライブ! ALLSTARS 虹ヶ咲学園スクールアイドル同好会,-,420 円,remaining:5pcs
0,【後攻】ラブライブ! ALLSTARS 虹ヶ咲学園スクールアイドル同好会,-,320 円,remaining:8pcs
0,【先攻】神様になった日,-,420 円,remaining:3pcs
0,【後攻】神様になった日,-,320 円,remaining:2pcs
0,【先攻】戦姫絶唱シンフォギアXV,-,500 円,remaining:×
0,【後攻】戦姫絶唱シンフォギアXV,-,500 円,remaining:×
0,【先攻】ご注文はうさぎですか？ BLOOM,-,780 円,remaining:×
0,【後攻】ご注文はうさぎですか？ BLOOM,-,780 円,remaining:×
0,【先攻】無職転生 -異世界行ったら本気だす-,-,320 円,remaining:1pcs
0,【後攻】無職転生 -異世界行ったら本気だす-,-,500 円,remaining:1pcs
0,【先攻】グリザイアの果実,-,680 円,remaining:×
0,【後攻】グリザイアの果実,-,680 円,remaining:×
0,【先攻】五等分の花嫁∬(一花),-,680 円,remaining:×
0,【後攻】五等分の花嫁∬(一花),-,680 円,remaining:×
0,【先攻】五等分の花嫁∬(二乃),-,780 円,remaining:×
0,【後攻】五等分の花嫁∬(二乃),-,780 円,remaining:×
0,【先攻】五等分の花嫁∬(三玖),-,780 円,remaining:×
0,【後攻】五等分の花嫁∬(三玖),-,780 円,remaining:×
0,【先攻】五等分の花嫁∬(四葉),-,780 円,remaining:×
0,【後攻】五等分の花嫁∬(四葉),-,780 円,remaining:×
0,【先攻】五等分の花嫁∬(五月),-,680 円,remaining:×
