,card_name,card_num,price,status
0,“歌は希望”マキナ(サイン入り),MDE/SE45-02SP,"14,800 円",remaining:1pcs
0,“歌は神秘”美雲(サイン入り),MDE/SE45-04SP,"24,800 円",remaining:2pcs
0,“歌は愛”レイナ(サイン入り),MDE/SE45-06SP,"4,980 円",remaining:3pcs
0,“歌は生命”カナメ(サイン入り),MDE/SE45-08SP,"17,800 円",remaining:×
0,“歌は元気”フレイア(サイン入り),MDE/SE45-19SP,"17,800 円",remaining:×
0,超時空ウィッチ レイナ(サイン入り),MDE/SE45-25SP,"14,800 円",remaining:×
0,マンダリン・ノーブル カナメ(サイン入り),MDE/SE45-26SP,"12,800 円",remaining:×
0,超時空ヴィーナスワルキューレ フレイア(サイン入り),MDE/SE45-30SP,"5,980 円",remaining:×
0,スカーレット・ノーブル フレイア(サイン入り),MDE/SE45-31SP,"12,800 円",remaining:1pcs
0,超時空ウィッチ カナメ(サイン入り),MDE/SE45-32SP,"24,800 円",remaining:×
0,超時空ヴィーナスワルキューレ マキナ(サイン入り),MDE/SE45-34SP,"6,980 円",remaining:×
0,超時空ヴィーナスワルキューレ カナメ(サイン入り),MDE/SE45-37SP,"5,980 円",remaining:1pcs
0,超時空ヴィーナスワルキューレ 美雲(サイン入り),MDE/SE45-38SP,"4,980 円",remaining:1pcs
0,超時空ウィッチ フレイア(サイン入り),MDE/SE45-39SP,"19,800 円",remaining:2pcs
0,ローズ・ノーブル マキナ(サイン入り),MDE/SE45-41SP,"4,980 円",remaining:×
0,超時空ヴィーナスワルキューレ レイナ(サイン入り),MDE/SE45-47SP,"3,980 円",remaining:×
0,ヴァイオレット・ノーブル 美雲(サイン入り),MDE/SE45-48SP,"7,980 円",remaining:×
0,超時空ウィッチ マキナ(サイン入り),MDE/SE45-51SP,"12,800 円",remaining:×
0,超時空ウィッチ 美雲(サイン入り),MDE/SE45-52SP,"12,800 円",remaining:2pcs
0,エメラルド・ノーブル レイナ(サイン入り),MDE/SE45-53SP,"3,980 円",remaining:×
0,“りんごが大好きニューフェイス”フレイア(箔押し入り),MDE/SE45-01DCR,780 円,remaining:◯
0,“歌は希望”マキナ(箔押し入り),MDE/SE45-02DCR,"1,780 円",remaining:8pcs
0,インメルマンダンス ハヤテ(箔押し入り),MDE/SE45-03DCR,120 円,remaining:◯
0,“歌は神秘”美雲(箔押し入り),MDE/SE45-04DCR,"2,480 円",remaining:◯
0,“最強歌姫 ミステリアスヴィーナス”美雲(箔押し入り),MDE/SE45-05DCR,320 円,remaining:8pcs
0,“歌は愛”レイナ(箔押し入り),MDE/SE45-06DCR,220 円,remaining:◯
0,それぞれの想い フレイア＆ミラージュ(箔押し入り),MDE/SE45-07DCR,320 円,remaining:◯
