,card_name,card_num,price,status
0,帰るべき場所 フェイト(サイン入り),ND/W67-001SSP,"79,800 円",remaining:×
0,ふり絞る力 アミタ(サイン入り),ND/W67-018SSP,"6,980 円",remaining:4pcs
0,守るべき大切なもの なのは(サイン入り),ND/W67-021SSP,"39,800 円",remaining:×
0,殲滅の白い光 はやて(サイン入り),ND/W67-045SSP,"19,800 円",remaining:×
0,明日を切り拓く一撃 ディアーチェ(サイン入り),ND/W67-046SSP,"14,800 円",remaining:×
0,宝物の時間 キリエ(サイン入り),ND/W67-047SSP,"7,980 円",remaining:×
0,結界防衛戦 フェイト(箔押し入り),ND/W67-002SP,"4,980 円",remaining:1pcs
0,戦いの行方 アミタ(箔押し入り),ND/W67-019SP,"1,980 円",remaining:◯
0,明日への一歩 なのは(箔押し入り),ND/W67-020SP,"5,980 円",remaining:×
0,戦いの行方 キリエ(箔押し入り),ND/W67-044SP,"1,980 円",remaining:7pcs
0,共同戦線 はやて(箔押し入り),ND/W67-054SP,"2,980 円",remaining:4pcs
0,戦いの行方 ディアーチェ(箔押し入り),ND/W67-057SP,"2,980 円",remaining:3pcs
0,頼もしい味方,ND/W67-015R,"1,980 円",remaining:×
0,魔法の使い道,ND/W67-040R,"1,480 円",remaining:×
0,ダブルシュートッ!,ND/W67-042R,"1,280 円",remaining:◯
0,我等が渾身の恩返し,ND/W67-095R,680 円,remaining:3pcs
0,一瞬の制圧,ND/W67-096R,500 円,remaining:7pcs
0,2人の想い出,ND/W67-097R,780 円,remaining:6pcs
0,エルトリアの再生,ND/W67-098R,320 円,remaining:×
0,バニーガール フェイト,ND/W67-003S,500 円,remaining:×
0,時空管理局嘱託 フェイト,ND/W67-004S,320 円,remaining:×
0,戦いの行方 フェイト,ND/W67-005S,420 円,remaining:1pcs
0,それぞれの戦い フェイト,ND/W67-006S,420 円,remaining:2pcs
0,戦いの行方 なのは,ND/W67-022S,320 円,remaining:1pcs
0,助けるための力ずく なのは,ND/W67-023S,680 円,remaining:4pcs
0,バニーガール なのは,ND/W67-024S,420 円,remaining:×
0,時空管理局嘱託 なのは,ND/W67-026S,420 円,remaining:1pcs
0,励ましの言葉 アミタ,ND/W67-027S,220 円,remaining:5pcs
0,それぞれの戦い なのは,ND/W67-028S,500 円,remaining:3pcs
0,それぞれの戦い アミタ,ND/W67-029S,320 円,remaining:10pcs
0,それぞれの戦い キリエ,ND/W67-049S,220 円,remaining:4pcs
0,平穏な日常 イリス,ND/W67-050S,680 円,remaining:◯
0,平穏な日常 シュテル,ND/W67-051S,980 円,remaining:×
0,平穏な日常 レヴィ,ND/W67-053S,500 円,remaining:7pcs
0,時空管理局本局所属 はやて,ND/W67-056S,220 円,remaining:1pcs
0,帰るべき場所 フェイト,ND/W67-001,680 円,remaining:×
0,結界防衛戦 フェイト,ND/W67-002,420 円,remaining:×
