,card_name,card_num,price,status
0,“B小町”ルビー(サイン入り),OSK/S107-001SSP,"34,800 円",remaining:×
0,“B小町”MEMちょ(サイン入り),OSK/S107-003SSP,"19,800 円",remaining:1pcs
0,“B小町”有馬かな(サイン入り),OSK/S107-004SSP,"49,800 円",remaining:5pcs
0,“B小町”アイ(サイン入り),OSK/S107-034SSP,"79,800 円",remaining:2pcs
0,演技に込める想い 黒川あかね(サイン入り),OSK/S107-066SSP,"49,800 円",remaining:×
0,復讐の仮面 アクア(サイン入り),OSK/S107-067SSP,"9,980 円",remaining:×
0,恋に落ちた瞬間 有馬かな(サイン入り),OSK/S107-002SP,"12,800 円",remaining:10pcs
0,年齢詐称 MEMちょ(サイン入り),OSK/S107-009SP,"3,980 円",remaining:5pcs
0,暗闇の、その先へ アクア(サイン入り),OSK/S107-035SP,"3,980 円",remaining:◯
0,輝くステージへ ルビー(サイン入り),OSK/S107-036SP,"7,980 円",remaining:×
0,吸い寄せられる天性の瞳 アイ(サイン入り),OSK/S107-044SP,"12,800 円",remaining:×
0,完璧なトレース 黒川あかね(サイン入り),OSK/S107-068SP,"7,980 円",remaining:×
0,陽東高校芸能科 ルビー(サイン入り),OSK/S107-T04SP,"19,800 円",remaining:×
0,陽東高校一般科 アクア(サイン入り),OSK/S107-T18SP,"4,980 円",remaining:3pcs
0,その視線の先に,OSK/S107-030OFR,"3,980 円",remaining:1pcs
0,今日は甘口で,OSK/S107-031OFR,"4,980 円",remaining:×
0,偽りの翼,OSK/S107-032OFR,"2,980 円",remaining:×
0,バズ,OSK/S107-033OFR,500 円,remaining:4pcs
0,秘めた熱情,OSK/S107-062OFR,"3,480 円",remaining:1pcs
0,誰よりも強く輝く一番星,OSK/S107-063OFR,"2,480 円",remaining:×
0,2度目の高校デビュー,OSK/S107-064OFR,500 円,remaining:3pcs
0,漫画原作ドラマ,OSK/S107-065OFR,500 円,remaining:5pcs
0,真実の行方,OSK/S107-097OFR,"1,980 円",remaining:1pcs
0,徹底した役作り,OSK/S107-098OFR,"4,980 円",remaining:×
0,劇団ララライの天才役者,OSK/S107-099OFR,"1,780 円",remaining:×
0,打算と策略のキスシーン,OSK/S107-100OFR,680 円,remaining:2pcs
0,憧れ続けた光,OSK/S107-T11OFR,"2,980 円",remaining:2pcs
0,アイドル,OSK/S107-T12OFR,"8,980 円",remaining:×
0,夢のような日々,OSK/S107-T20OFR,980 円,remaining:4pcs
0,スカウト アイ,OSK/S107-T01R,420 円,remaining:3pcs
0,ヲタ芸 ルビー,OSK/S107-T02R,180 円,remaining:9pcs
0,苺プロ社長 斉藤壱護,OSK/S107-T03R,180 円,remaining:8pcs
0,アイドルの片鱗 ルビー,OSK/S107-T05R,420 円,remaining:5pcs
0,父親との繋がり アイ,OSK/S107-T06R,220 円,remaining:4pcs
0,嘘は愛 アイ,OSK/S107-T07R,220 円,remaining:5pcs
0,自然な笑顔 アイ,OSK/S107-T08R,320 円,remaining:6pcs
0,一緒に練習 ルビー＆アイ,OSK/S107-T09R,320 円,remaining:4pcs
0,気味の悪い子供 アクア,OSK/S107-T13R,180 円,remaining:4pcs
0,天才子役 有馬かな,OSK/S107-T14R,420 円,remaining:4pcs
0,復讐の炎 アクア,OSK/S107-T15R,180 円,remaining:4pcs
0,ヲタ芸 アクア,OSK/S107-T16R,180 円,remaining:4pcs
0,ゴロー&さりな,OSK/S107-T17R,180 円,remaining:8pcs
0,母から子へ,OSK/S107-T19R,420 円,remaining:3pcs
0,出演交渉 有馬かな,OSK/S107-005S,500 円,remaining:×
0,憧れのアイドルを目指して ルビー,OSK/S107-006S,"1,780 円",remaining:1pcs
0,新人アイドル 有馬かな,OSK/S107-007S,"1,980 円",remaining:2pcs
0,夢をもう一度 MEMちょ,OSK/S107-008S,420 円,remaining:1pcs
0,JIFへの道 MEMちょ,OSK/S107-010S,320 円,remaining:1pcs
0,白く眩しい光 有馬かな,OSK/S107-011S,420 円,remaining:2pcs
0,かわいくポーズ♪ MEMちょ,OSK/S107-012S,220 円,remaining:2pcs
0,PV撮影 有馬かな,OSK/S107-013S,320 円,remaining:7pcs
0,本番前 ルビー,OSK/S107-014S,420 円,remaining:4pcs
0,夢見る少女 MEMちょ,OSK/S107-015S,320 円,remaining:×
0,覆面筋トレ系ユーチューバー ぴえヨン,OSK/S107-016S,420 円,remaining:6pcs
0,夢のような話 MEMちょ,OSK/S107-017S,"3,480 円",remaining:6pcs
0,センター争奪戦 ルビー,OSK/S107-018S,500 円,remaining:7pcs
0,揺れ動く乙女心 有馬かな,OSK/S107-019S,500 円,remaining:×
0,バズらせのプロ MEMちょ,OSK/S107-020S,420 円,remaining:6pcs
0,カラオケ ルビー,OSK/S107-021S,320 円,remaining:7pcs
0,初めて、一番最初 有馬かな,OSK/S107-022S,220 円,remaining:1pcs
0,メンバー探し ルビー,OSK/S107-023S,980 円,remaining:◯
0,私を見てくれる人 有馬かな,OSK/S107-024S,420 円,remaining:6pcs
