,card_name,card_num,price,status
0,踏み出す一歩 ナルミ(サイン入り),RSK/SE44-01SP,"14,800 円",remaining:3pcs
0,弓の名手 チッタ(サイン入り),RSK/SE44-02SP,"3,980 円",remaining:4pcs
0,本当に求めたもの ミヤビ(サイン入り),RSK/SE44-03SP,"5,980 円",remaining:1pcs
0,親切の理由 シュウ(サイン入り),RSK/SE44-05SP,"1,980 円",remaining:×
0,生理指標の変化 ハジメ(サイン入り),RSK/SE44-06SP,"1,980 円",remaining:3pcs
0,職人への夢 ブラッド(サイン入り),RSK/SE44-07SP,"3,480 円",remaining:2pcs
0,母の想い リサ(サイン入り),RSK/SE44-29SP,"6,980 円",remaining:4pcs
0,助けたい意思 ヒカリ(サイン入り),RSK/SE44-30SP,"14,800 円",remaining:3pcs
0,冒険者 ナルミ(サイン入り),RSK/SE44-31SP,"9,980 円",remaining:3pcs
0,自分にしかできないこと ヒビキ(サイン入り),RSK/SE44-34SP,"1,980 円",remaining:3pcs
0,祝福の魔法 ノノ(サイン入り),RSK/SE44-36SP,"3,480 円",remaining:×
0,漆黒の闇 レン(サイン入り),RSK/SE44-37SP,"3,480 円",remaining:2pcs
0,踏み出す一歩 ナルミ,RSK/SE44-01,"1,280 円",remaining:◯
0,弓の名手 チッタ,RSK/SE44-02,220 円,remaining:◯
0,本当に求めたもの ミヤビ,RSK/SE44-03,180 円,remaining:◯
0,冒険者 ナルミ,RSK/SE44-04,220 円,remaining:◯
0,母の想い リサ,RSK/SE44-29,680 円,remaining:◯
0,助けたい意思 ヒカリ,RSK/SE44-30,420 円,remaining:◯
0,冒険者 ナルミ,RSK/SE44-31,680 円,remaining:◯
0,親切の理由 シュウ,RSK/SE44-05,120 円,remaining:◯
0,生理指標の変化 ハジメ,RSK/SE44-06,80 円,remaining:◯
0,職人への夢 ブラッド,RSK/SE44-07,180 円,remaining:◯
0,雑貨店の娘 ミヤビ,RSK/SE44-08,120 円,remaining:◯
0,育んだ絆 ナルミ,RSK/SE44-09,120 円,remaining:◯
0,エルフの弓遣い チッタ,RSK/SE44-10,120 円,remaining:◯
0,トレジャーハンター リサ,RSK/SE44-32,80 円,remaining:◯
0,芽生えた絆 ナルミ,RSK/SE44-33,180 円,remaining:◯
