,card_name,card_num,price,status
0,運命への抵抗 パック(サイン入り),RZ/SE35-02SP,"3,980 円",remaining:2pcs
0,契約者と精霊 エミリア&パック(サイン入り),RZ/SE35-04SP,"14,800 円",remaining:×
0,袴姿のラム(サイン入り),RZ/SE35-43SP,"9,980 円",remaining:×
0,袴姿のレム(サイン入り),RZ/SE35-50SP,"19,800 円",remaining:×
0,氷に囚われた少女 エミリア,RZ/SE35-01,120 円,remaining:◯
0,運命への抵抗 パック,RZ/SE35-02,320 円,remaining:9pcs
0,“氷結の絆” パック&エミリア,RZ/SE35-03,120 円,remaining:◯
0,契約者と精霊 エミリア&パック,RZ/SE35-04,680 円,remaining:◯
0,その時を信じて パック,RZ/SE35-05,680 円,remaining:6pcs
0,袴姿のレム,RZ/SE35-50,420 円,remaining:×
0,微精霊との契約 エミリア,RZ/SE35-06,120 円,remaining:1pcs
0,滑走アクション! エミリア,RZ/SE35-07,80 円,remaining:◯
0,おちゃらけパック,RZ/SE35-08,220 円,remaining:◯
0,森の探検 エミリア,RZ/SE35-09,80 円,remaining:◯
0,“君のお父さん” パック,RZ/SE35-10,120 円,remaining:◯
0,独りぼっちのエミリア,RZ/SE35-11,220 円,remaining:◯
0,マナの放出 エミリア,RZ/SE35-12,80 円,remaining:◯
0,ほっとけない性分 エミリア,RZ/SE35-13,80 円,remaining:◯
0,“ただの” エミリア,RZ/SE35-14,120 円,remaining:◯
0,必死の抵抗 エミリア,RZ/SE35-15,80 円,remaining:◯
0,“星獣化” パック,RZ/SE35-16,80 円,remaining:◯
0,袴姿のラム,RZ/SE35-43,220 円,remaining:◯
0,深まった絆 エミリア,RZ/SE35-17,120 円,remaining:◯
0,キラキラ採掘 エミリア,RZ/SE35-18,50 円,remaining:◯
0,二人の出会い エミリア,RZ/SE35-19,50 円,remaining:◯
0,実力者 パック,RZ/SE35-20,50 円,remaining:◯
0,“ボクの名前を呼んで” パック,RZ/SE35-21,120 円,remaining:◯
0,お仕置きの時間 パック,RZ/SE35-22,50 円,remaining:◯
0,氷の花,RZ/SE35-37,50 円,remaining:◯
0,キラキラ石,RZ/SE35-38,50 円,remaining:◯
0,森に現れた賊 チャップ,RZ/SE35-44,50 円,remaining:◯
0,“調停者” メラクェラ,RZ/SE35-45,80 円,remaining:◯
0,外への誘い パック,RZ/SE35-23,30 円,remaining:◯
0,森の探検 パック,RZ/SE35-24,30 円,remaining:◯
0,昔を偲ぶエミリア,RZ/SE35-25,30 円,remaining:◯
0,村への訪問 エミリア,RZ/SE35-26,50 円,remaining:◯
0,不穏な予感 パック,RZ/SE35-27,30 円,remaining:◯
0,みんながいる今 エミリア,RZ/SE35-28,30 円,remaining:◯
0,理不尽な弾劾 エミリア,RZ/SE35-29,30 円,remaining:◯
0,“ずっとそばにいる” パック,RZ/SE35-30,30 円,remaining:◯
0,誓約と契約の両天秤 パック,RZ/SE35-31,50 円,remaining:◯
0,森の暮らし エミリア,RZ/SE35-32,30 円,remaining:◯
0,親切心からの忠告 エミリア,RZ/SE35-33,50 円,remaining:◯
0,迸る怒り パック,RZ/SE35-34,30 円,remaining:◯
0,夕陽に染まるエミリア,RZ/SE35-35,30 円,remaining:◯
0,エミリアへの想い パック,RZ/SE35-36,30 円,remaining:◯
0,黒水,RZ/SE35-46,80 円,remaining:◯
0,“四大” メラクェラ,RZ/SE35-47,30 円,remaining:◯
0,復讐者 チャップ,RZ/SE35-48,30 円,remaining:◯
0,神聖な問答,RZ/SE35-39,80 円,remaining:◯
0,二人のこれから,RZ/SE35-40,120 円,remaining:1pcs
0,二人の出会い,RZ/SE35-41,50 円,remaining:◯
0,大精霊の激突,RZ/SE35-42,50 円,remaining:◯
0,焼き尽くす劫火,RZ/SE35-49,30 円,remaining:◯
0,氷に囚われた少女 エミリア(ホロ),RZ/SE35-01,120 円,remaining:◯
0,運命への抵抗 パック(ホロ),RZ/SE35-02,320 円,remaining:◯
0,“氷結の絆” パック&エミリア(ホロ),RZ/SE35-03,120 円,remaining:◯
0,契約者と精霊 エミリア&パック(ホロ),RZ/SE35-04,680 円,remaining:◯
0,その時を信じて パック(ホロ),RZ/SE35-05,680 円,remaining:◯
0,袴姿のレム(ホロ),RZ/SE35-50,420 円,remaining:×
0,微精霊との契約 エミリア(ホロ),RZ/SE35-06,120 円,remaining:◯
0,滑走アクション! エミリア(ホロ),RZ/SE35-07,80 円,remaining:◯
0,おちゃらけパック(ホロ),RZ/SE35-08,320 円,remaining:×
0,森の探検 エミリア(ホロ),RZ/SE35-09,80 円,remaining:◯
0,“君のお父さん” パック(ホロ),RZ/SE35-10,120 円,remaining:◯
0,独りぼっちのエミリア(ホロ),RZ/SE35-11,320 円,remaining:×
0,マナの放出 エミリア(ホロ),RZ/SE35-12,80 円,remaining:10pcs
0,ほっとけない性分 エミリア(ホロ),RZ/SE35-13,80 円,remaining:◯
0,“ただの” エミリア(ホロ),RZ/SE35-14,180 円,remaining:1pcs
0,必死の抵抗 エミリア(ホロ),RZ/SE35-15,80 円,remaining:◯
0,“星獣化” パック(ホロ),RZ/SE35-16,80 円,remaining:◯
0,袴姿のラム(ホロ),RZ/SE35-43,320 円,remaining:◯
0,深まった絆 エミリア(ホロ),RZ/SE35-17,180 円,remaining:9pcs
0,キラキラ採掘 エミリア(ホロ),RZ/SE35-18,80 円,remaining:◯
0,二人の出会い エミリア(ホロ),RZ/SE35-19,80 円,remaining:◯
0,実力者 パック(ホロ),RZ/SE35-20,80 円,remaining:◯
0,“ボクの名前を呼んで” パック(ホロ),RZ/SE35-21,180 円,remaining:◯
0,お仕置きの時間 パック(ホロ),RZ/SE35-22,80 円,remaining:◯
0,氷の花(ホロ),RZ/SE35-37,80 円,remaining:◯
0,キラキラ石(ホロ),RZ/SE35-38,80 円,remaining:◯
0,森に現れた賊 チャップ(ホロ),RZ/SE35-44,80 円,remaining:◯
0,“調停者” メラクェラ(ホロ),RZ/SE35-45,120 円,remaining:◯
0,外への誘い パック(ホロ),RZ/SE35-23,50 円,remaining:◯
0,森の探検 パック(ホロ),RZ/SE35-24,50 円,remaining:◯
0,昔を偲ぶエミリア(ホロ),RZ/SE35-25,50 円,remaining:◯
0,村への訪問 エミリア(ホロ),RZ/SE35-26,80 円,remaining:◯
0,不穏な予感 パック(ホロ),RZ/SE35-27,50 円,remaining:◯
0,みんながいる今 エミリア(ホロ),RZ/SE35-28,50 円,remaining:◯
0,理不尽な弾劾 エミリア(ホロ),RZ/SE35-29,50 円,remaining:◯
0,“ずっとそばにいる” パック(ホロ),RZ/SE35-30,50 円,remaining:◯
0,誓約と契約の両天秤 パック(ホロ),RZ/SE35-31,80 円,remaining:◯
0,森の暮らし エミリア(ホロ),RZ/SE35-32,50 円,remaining:◯
0,親切心からの忠告 エミリア(ホロ),RZ/SE35-33,80 円,remaining:◯
0,迸る怒り パック(ホロ),RZ/SE35-34,50 円,remaining:◯
0,夕陽に染まるエミリア(ホロ),RZ/SE35-35,50 円,remaining:◯
0,エミリアへの想い パック(ホロ),RZ/SE35-36,50 円,remaining:◯
0,黒水(ホロ),RZ/SE35-46,120 円,remaining:◯
0,“四大” メラクェラ(ホロ),RZ/SE35-47,50 円,remaining:◯
0,復讐者 チャップ(ホロ),RZ/SE35-48,50 円,remaining:◯
0,神聖な問答(ホロ),RZ/SE35-39,180 円,remaining:◯
0,二人のこれから(ホロ),RZ/SE35-40,220 円,remaining:×
0,二人の出会い(ホロ),RZ/SE35-41,80 円,remaining:◯
0,大精霊の激突(ホロ),RZ/SE35-42,80 円,remaining:◯
0,焼き尽くす劫火(ホロ),RZ/SE35-49,80 円,remaining:◯
0,停滞した時の中 エミリア,RZ/SE35-P01,220 円,remaining:◯
0,ぷっくりエミリア,RZ/SE35-P02,220 円,remaining:◯
0,しろくろアニマル ラム,RZ/SE35-P03A,"1,980 円",remaining:◯
0,しろくろアニマル ラム,RZ/SE35-P03B,"1,780 円",remaining:×
0,しろくろアニマル エミリア,RZ/SE35-P04A,"1,280 円",remaining:◯
0,しろくろアニマル エミリア,RZ/SE35-P04B,"1,280 円",remaining:×
0,しろくろアニマル レム,RZ/SE35-P05A,"2,980 円",remaining:◯
0,しろくろアニマル レム,RZ/SE35-P05B,"2,980 円",remaining:◯
