,card_name,card_num,price,status
0,“情報屋”鼠のアルゴ(サイン入り),SAO/S100-001SP,"5,980 円",remaining:6pcs
0,思い募る金木犀 アリス(サイン入り),SAO/S100-002SP,"17,800 円",remaining:4pcs
0,千年の旅路 アスナ(サイン入り),SAO/S100-003SP,"49,800 円",remaining:×
0,兄妹の絆 リーファ(サイン入り),SAO/S100-025SP,"24,800 円",remaining:4pcs
0,“マザーズ・ロザリオ” ユウキ(サイン入り),SAO/S100-026SP,"34,800 円",remaining:×
0,共に明日へ ミト(サイン入り),SAO/S100-027SP,"7,980 円",remaining:3pcs
0,いつでも仲良し シリカ(サイン入り),SAO/S100-059SP,"6,980 円",remaining:×
0,一流の鍛冶職人 リズベット(サイン入り),SAO/S100-062SP,"5,980 円",remaining:×
0,幸福の花冠 ユイ(サイン入り),SAO/S100-075SP,"4,980 円",remaining:×
0,GGO最強のスナイパー シノン(サイン入り),SAO/S100-076SP,"29,800 円",remaining:1pcs
0,神威なる力 キリト(サイン入り),SAO/S100-077SP,"7,980 円",remaining:2pcs
0,“ステイ・クール” ユージオ(サイン入り),SAO/S100-079SP,"4,980 円",remaining:×
0,命を懸けたデスゲーム(サイン入り),SAO/S100-020SEC,"24,800 円",remaining:×
0,Alicization(サイン入り),SAO/S100-097SEC,"19,800 円",remaining:4pcs
0,人界の守護,SAO/S100-022R,"1,780 円",remaining:×
0,信頼できる情報,SAO/S100-023R,500 円,remaining:×
0,剣の世界,SAO/S100-024R,500 円,remaining:×
0,《マザーズ・ロザリオ》,SAO/S100-054R,220 円,remaining:1pcs
0,最後のひと押し,SAO/S100-055R,500 円,remaining:1pcs
0,Happy Christmas!,SAO/S100-056R,220 円,remaining:2pcs
0,黄昏の約束,SAO/S100-057R,220 円,remaining:×
0,うたかたの記憶,SAO/S100-058R,"2,480 円",remaining:×
0,思い出の丘,SAO/S100-073R,680 円,remaining:×
0,気づいた本当の気持ち,SAO/S100-074R,320 円,remaining:1pcs
0,夜空の剣,SAO/S100-099R,"1,280 円",remaining:2pcs
0,“氷の狙撃手”,SAO/S100-100R,680 円,remaining:4pcs
0,潰えぬ希望 アスナ,SAO/S100-004S,420 円,remaining:4pcs
0,ゲーム初心者 アスナ,SAO/S100-005S,"1,980 円",remaining:3pcs
0,戦場に響く大音声 アリス,SAO/S100-006S,980 円,remaining:×
0,キミと一緒に アスナ,SAO/S100-007S,320 円,remaining:1pcs
0,想いを重ねて アスナ&キリト,SAO/S100-008S,780 円,remaining:×
0,高まる期待 アルゴ,SAO/S100-009S,320 円,remaining:×
0,凛とした強さ アスナ,SAO/S100-010S,500 円,remaining:×
0,真っ直ぐな道 アリス,SAO/S100-011S,680 円,remaining:◯
0,献身的 アリス,SAO/S100-012S,220 円,remaining:8pcs
0,癒しのひと時 アスナ,SAO/S100-013S,"3,480 円",remaining:×
0,光の中へ アリス＆ユージオ,SAO/S100-014S,320 円,remaining:6pcs
0,ゲームマスター 茅場,SAO/S100-015S,180 円,remaining:◯
0,《星なき夜のアリア》アスナ,SAO/S100-016S,320 円,remaining:5pcs
0,新たな約束 アスナ,SAO/S100-017S,220 円,remaining:4pcs
0,《星なき夜のアリア》明日奈,SAO/S100-018S,220 円,remaining:4pcs
0,臨戦態勢 アスナ,SAO/S100-019S,220 円,remaining:10pcs
0,浮遊城アインクラッド,SAO/S100-021S,"2,980 円",remaining:×
0,《星なき夜のアリア》深澄,SAO/S100-028S,780 円,remaining:×
0,不敗の超剣士 ユウキ,SAO/S100-029S,420 円,remaining:3pcs
0,聖夜の乙女たち,SAO/S100-030S,320 円,remaining:4pcs
0,ベータテスター ミト,SAO/S100-031S,320 円,remaining:1pcs
0,守ると誓った ミト,SAO/S100-032S,500 円,remaining:2pcs
0,妖しい微笑み ユナ,SAO/S100-033S,"1,980 円",remaining:2pcs
0,ふたりの放課後 深澄&明日奈,SAO/S100-034S,180 円,remaining:◯
0,本物の歌姫 ユナ,SAO/S100-035S,"1,280 円",remaining:3pcs
0,無邪気な笑顔 ユウキ,SAO/S100-036S,320 円,remaining:4pcs
0,パーティードレス ソルティリーナ,SAO/S100-037S,420 円,remaining:×
0,本音のぶつかり合い ユウキ,SAO/S100-038S,220 円,remaining:10pcs
0,このゲームの醍醐味 ミト,SAO/S100-039S,320 円,remaining:4pcs
0,晴れた気持ち ファナティオ,SAO/S100-040S,220 円,remaining:8pcs
0,託した想い カーディナル,SAO/S100-041S,180 円,remaining:◯
0,純粋な願い リーファ,SAO/S100-042S,220 円,remaining:3pcs
0,大吉! 直葉,SAO/S100-043S,220 円,remaining:4pcs
0,深い後悔 ミト,SAO/S100-044S,180 円,remaining:◯
0,また逢う日まで ユウキ＆アスナ,SAO/S100-045S,420 円,remaining:4pcs
0,ふたりでレベルアップ ミト,SAO/S100-046S,180 円,remaining:◯
0,心休まる時 深澄,SAO/S100-047S,220 円,remaining:×
0,時穿剣の使い手 ベルクーリ,SAO/S100-048S,220 円,remaining:3pcs
0,兎沢 深澄,SAO/S100-049S,180 円,remaining:◯
0,不撓不屈 リーファ,SAO/S100-050S,220 円,remaining:4pcs
0,お手伝い ロニエ＆ティーゼ,SAO/S100-051S,220 円,remaining:×
0,第一層ボス攻略 ミト,SAO/S100-052S,180 円,remaining:◯
0,継承される剣技,SAO/S100-053S,320 円,remaining:2pcs
0,妹のような存在 シリカ,SAO/S100-060S,320 円,remaining:4pcs
0,メイスの使い手 リズベット,SAO/S100-061S,220 円,remaining:◯
0,かわいい悪戯 シリカ,SAO/S100-063S,500 円,remaining:×
0,修復不可能 リズベット,SAO/S100-064S,220 円,remaining:10pcs
0,春爛漫 里香&直葉&珪子,SAO/S100-065S,320 円,remaining:3pcs
0,恐怖とともに《死銃》,SAO/S100-066S,180 円,remaining:4pcs
0,恋い慕う シリカ&リズベット,SAO/S100-067S,180 円,remaining:10pcs
0,謎めいた微笑み アドミニストレータ,SAO/S100-068S,980 円,remaining:3pcs
0,求め、盗み、奪う者 ガブリエル,SAO/S100-069S,180 円,remaining:10pcs
0,感謝の気持ち シリカ,SAO/S100-070S,220 円,remaining:◯
0,心の温度 アスナ&リズベット,SAO/S100-071S,500 円,remaining:×
0,歪んだ愛情 ヴァサゴ,SAO/S100-072S,180 円,remaining:◯
0,《星なき夜のアリア》キリト,SAO/S100-078S,420 円,remaining:8pcs
0,二年半の思い出 ユージオ,SAO/S100-080S,180 円,remaining:◯
0,親子愛 アスナ&ユイ,SAO/S100-081S,220 円,remaining:7pcs
0,《無制限飛行》シノン,SAO/S100-082S,420 円,remaining:4pcs
0,月夜の剣士 アスナ&キリト,SAO/S100-083S,320 円,remaining:◯
0,思い出の欠片 キリト,SAO/S100-084S,180 円,remaining:◯
0,貴重な強さ キリト,SAO/S100-085S,180 円,remaining:◯
0,決意の弾丸 シノン,SAO/S100-086S,500 円,remaining:×
0,《星なき夜のアリア》 和人,SAO/S100-087S,220 円,remaining:10pcs
0,ご機嫌ななめ 詩乃,SAO/S100-088S,320 円,remaining:9pcs
0,《黒の剣士》キリト,SAO/S100-089S,220 円,remaining:5pcs
0,《オーディナル・スケール》シリカ&アスナ&キリト,SAO/S100-090S,220 円,remaining:8pcs
0,攻略組 エギル,SAO/S100-091S,180 円,remaining:◯
0,アドバイス シノン,SAO/S100-092S,220 円,remaining:6pcs
0,たとえ罠だとしても クライン,SAO/S100-093S,180 円,remaining:10pcs
0,一家団欒 ユイ&アスナ,SAO/S100-094S,220 円,remaining:8pcs
0,愛する世界のために ユージオ,SAO/S100-095S,180 円,remaining:10pcs
0,《コート・オブ・ミッドナイト》キリト,SAO/S100-096S,180 円,remaining:◯
0,SYSTEM ALERT,SAO/S100-098S,180 円,remaining:◯
0,“情報屋”鼠のアルゴ,SAO/S100-001,780 円,remaining:6pcs
0,思い募る金木犀 アリス,SAO/S100-002,680 円,remaining:1pcs
0,千年の旅路 アスナ,SAO/S100-003,500 円,remaining:◯
0,兄妹の絆 リーファ,SAO/S100-025,"1,980 円",remaining:◯
0,“マザーズ・ロザリオ” ユウキ,SAO/S100-026,420 円,remaining:2pcs
0,共に明日へ ミト,SAO/S100-027,180 円,remaining:8pcs
0,いつでも仲良し シリカ,SAO/S100-059,220 円,remaining:◯
0,幸福の花冠 ユイ,SAO/S100-075,220 円,remaining:5pcs
0,GGO最強のスナイパー シノン,SAO/S100-076,320 円,remaining:5pcs
0,神威なる力 キリト,SAO/S100-077,320 円,remaining:◯
0,潰えぬ希望 アスナ,SAO/S100-004,80 円,remaining:◯
0,ゲーム初心者 アスナ,SAO/S100-005,500 円,remaining:◯
0,戦場に響く大音声 アリス,SAO/S100-006,500 円,remaining:◯
0,キミと一緒に アスナ,SAO/S100-007,80 円,remaining:◯
0,想いを重ねて アスナ&キリト,SAO/S100-008,220 円,remaining:◯
0,高まる期待 アルゴ,SAO/S100-009,120 円,remaining:◯
0,命を懸けたデスゲーム,SAO/S100-020,80 円,remaining:◯
0,《星なき夜のアリア》深澄,SAO/S100-028,180 円,remaining:◯
0,不敗の超剣士 ユウキ,SAO/S100-029,180 円,remaining:◯
0,聖夜の乙女たち,SAO/S100-030,80 円,remaining:◯
0,ベータテスター ミト,SAO/S100-031,80 円,remaining:◯
0,守ると誓った ミト,SAO/S100-032,80 円,remaining:◯
0,妖しい微笑み ユナ,SAO/S100-033,220 円,remaining:◯
0,妹のような存在 シリカ,SAO/S100-060,180 円,remaining:◯
0,メイスの使い手 リズベット,SAO/S100-061,80 円,remaining:◯
0,一流の鍛冶職人 リズベット,SAO/S100-062,120 円,remaining:◯
0,《星なき夜のアリア》キリト,SAO/S100-078,120 円,remaining:◯
0,“ステイ・クール” ユージオ,SAO/S100-079,120 円,remaining:◯
0,二年半の思い出 ユージオ,SAO/S100-080,50 円,remaining:◯
0,親子愛 アスナ&ユイ,SAO/S100-081,50 円,remaining:◯
0,《無制限飛行》シノン,SAO/S100-082,120 円,remaining:◯
0,Alicization,SAO/S100-097,180 円,remaining:◯
0,凛とした強さ アスナ,SAO/S100-010,50 円,remaining:◯
0,真っ直ぐな道 アリス,SAO/S100-011,180 円,remaining:◯
0,献身的 アリス,SAO/S100-012,50 円,remaining:◯
0,癒しのひと時 アスナ,SAO/S100-013,50 円,remaining:◯
0,光の中へ アリス＆ユージオ,SAO/S100-014,50 円,remaining:◯
0,浮遊城アインクラッド,SAO/S100-021,220 円,remaining:◯
0,ふたりの放課後 深澄&明日奈,SAO/S100-034,50 円,remaining:◯
0,本物の歌姫 ユナ,SAO/S100-035,180 円,remaining:◯
0,無邪気な笑顔 ユウキ,SAO/S100-036,50 円,remaining:◯
0,パーティードレス ソルティリーナ,SAO/S100-037,120 円,remaining:◯
0,本音のぶつかり合い ユウキ,SAO/S100-038,50 円,remaining:◯
0,このゲームの醍醐味 ミト,SAO/S100-039,50 円,remaining:◯
0,晴れた気持ち ファナティオ,SAO/S100-040,50 円,remaining:◯
0,託した想い カーディナル,SAO/S100-041,50 円,remaining:◯
0,純粋な願い リーファ,SAO/S100-042,50 円,remaining:◯
0,継承される剣技,SAO/S100-053,50 円,remaining:◯
0,かわいい悪戯 シリカ,SAO/S100-063,80 円,remaining:◯
0,修復不可能 リズベット,SAO/S100-064,50 円,remaining:◯
0,春爛漫 里香&直葉&珪子,SAO/S100-065,50 円,remaining:◯
0,恐怖とともに《死銃》,SAO/S100-066,50 円,remaining:◯
0,恋い慕う シリカ&リズベット,SAO/S100-067,50 円,remaining:◯
0,月夜の剣士 アスナ&キリト,SAO/S100-083,50 円,remaining:◯
0,思い出の欠片 キリト,SAO/S100-084,50 円,remaining:◯
0,貴重な強さ キリト,SAO/S100-085,50 円,remaining:◯
0,決意の弾丸 シノン,SAO/S100-086,50 円,remaining:◯
0,《星なき夜のアリア》 和人,SAO/S100-087,50 円,remaining:◯
0,ご機嫌ななめ 詩乃,SAO/S100-088,50 円,remaining:◯
0,SYSTEM ALERT,SAO/S100-098,50 円,remaining:◯
0,ゲームマスター 茅場,SAO/S100-015,30 円,remaining:◯
0,《星なき夜のアリア》アスナ,SAO/S100-016,30 円,remaining:◯
0,新たな約束 アスナ,SAO/S100-017,30 円,remaining:◯
0,《星なき夜のアリア》明日奈,SAO/S100-018,30 円,remaining:◯
0,臨戦態勢 アスナ,SAO/S100-019,30 円,remaining:◯
