,card_name,card_num,price,status
0,ユーマ・イルバーン(サイン入り),SR/SE25-02SP,"2,980 円",remaining:7pcs
0,ソニア・ブランシュ(サイン入り),SR/SE25-06SP,"14,800 円",remaining:×
0,神曲の竜騎士姫 エクセラ(サイン入り),SR/SE25-25SP,"24,800 円",remaining:1pcs
0,祝福を与える歌 キリカ(サイン入り),SR/SE25-27SP,"59,800 円",remaining:×
0,マリオン・ル・シーラ,SR/SE25-01,80 円,remaining:◯
0,ユーマ・イルバーン,SR/SE25-02,320 円,remaining:◯
0,アグナム・ブレッドハート,SR/SE25-03,120 円,remaining:◯
0,黄金の雷撃姫 ソニア,SR/SE25-04,220 円,remaining:6pcs
0,竜を導く稲妻王女 ソニア,SR/SE25-05,120 円,remaining:◯
0,ソニア・ブランシュ,SR/SE25-06,220 円,remaining:×
0,竜の心を持つ少年 ユーマ,SR/SE25-07,180 円,remaining:◯
0,煌竜 覚醒体,SR/SE25-08,180 円,remaining:◯
0,キリカ・トワ・アルマ,SR/SE25-22,320 円,remaining:4pcs
0,リンナ・メイフィールド,SR/SE25-23,220 円,remaining:6pcs
0,リンナ&フロマージュ,SR/SE25-24,220 円,remaining:6pcs
0,神曲の竜騎士姫 エクセラ,SR/SE25-25,320 円,remaining:2pcs
0,ウェルラント王国の騎士団長 レスティ,SR/SE25-26,80 円,remaining:◯
0,祝福を与える歌 キリカ,SR/SE25-27,420 円,remaining:◯
0,感謝の言葉 ソニア,SR/SE25-09,80 円,remaining:9pcs
0,熱いビート アグナム,SR/SE25-10,80 円,remaining:◯
0,冷徹な狙撃手 エト,SR/SE25-11,30 円,remaining:◯
0,ゼスト・グレアム,SR/SE25-12,30 円,remaining:◯
0,一途な女の子 マリオン,SR/SE25-13,80 円,remaining:◯
0,成長する心 ユーマ,SR/SE25-14,120 円,remaining:◯
0,爆音の炎術師 アグナム,SR/SE25-15,50 円,remaining:◯
0,ジーナス・アイオーン,SR/SE25-16,30 円,remaining:◯
0,流浪の魔術師 アグナム,SR/SE25-17,30 円,remaining:◯
0,開放された心 マリオン,SR/SE25-18,30 円,remaining:◯
0,B.A.N.D,SR/SE25-19A,80 円,remaining:◯
