,card_name,card_num,price,status
0,この刃に懸けて シャナ(サイン入り),SS/WE15-08,"29,800 円",remaining:×
0,悠二と歩む道 シャナ(サイン入り),SS/WE15-12,"69,800 円",remaining:1pcs
0,『巫女』ヘカテー (サイン入り),SS/WE15-26,"9,980 円",remaining:×
0,悠二の消えた日 シャナ,SS/WE15-01,80 円,remaining:◯
0,成長の鍵 シャナ,SS/WE15-06,80 円,remaining:1pcs
0,一流の自在師 マージョリー,SS/WE15-07,320 円,remaining:8pcs
0,この刃に懸けて シャナ,SS/WE15-08,320 円,remaining:8pcs
0,最終決戦 マージョリー,SS/WE15-09,80 円,remaining:◯
0,“ペルソナ”装着 ヴィルヘルミナ,SS/WE15-10,120 円,remaining:◯
0,愛がすべて シャナ,SS/WE15-11,580 円,remaining:◯
0,悠二と歩む道 シャナ,SS/WE15-12,780 円,remaining:◯
0,『巫女』ヘカテー,SS/WE15-26,120 円,remaining:◯
0,『参謀』ベルペオル,SS/WE15-27,180 円,remaining:◯
0,創造神“祭礼の蛇”,SS/WE15-28,320 円,remaining:◯
0,神威召還 ヘカテー,SS/WE15-29,420 円,remaining:◯
0,囚われのシャナ,SS/WE15-02,120 円,remaining:◯
0,ネコミミ 一美,SS/WE15-03,50 円,remaining:◯
0,揺れる想い 一美,SS/WE15-04,50 円,remaining:◯
0,逃げない勇気 一美,SS/WE15-05,80 円,remaining:◯
0,最強の自在法 シャナ,SS/WE15-13,50 円,remaining:4pcs
0,使命の為に ヴィルヘルミナ,SS/WE15-14,50 円,remaining:◯
0,『鬼功の繰り手』サーレ・ハビヒツブルグ,SS/WE15-15,50 円,remaining:◯
0,揺るがぬ心 シャナ,SS/WE15-16,80 円,remaining:1pcs
0,『輝爍の撒き手』レベッカ・リード,SS/WE15-17,50 円,remaining:◯
0,乾坤一擲 シャナ,SS/WE15-18,50 円,remaining:2pcs
0,闘争の渦 シャナ,SS/WE15-19,220 円,remaining:◯
0,『調律師』カムシン・ネブハーウ,SS/WE15-20,220 円,remaining:◯
0,『極光の射手』キアラ・トスカナ,SS/WE15-21,50 円,remaining:◯
0,理屈と気持ち シャナ,SS/WE15-22,50 円,remaining:4pcs
0,『震威の結い手』ゾフィー・サバリッシュ,SS/WE15-23,50 円,remaining:◯
0,別れの哀愁 シュドナイ,SS/WE15-30,50 円,remaining:3pcs
0,確かな存在 悠二,SS/WE15-31,50 円,remaining:10pcs
0,理屈と気持ち 悠二,SS/WE15-32,50 円,remaining:◯
0,神算鬼謀 ベルペオル,SS/WE15-33,50 円,remaining:◯
0,幾万の願いの結晶 ヘカテー,SS/WE15-34,220 円,remaining:1pcs
0,『将軍』シュドナイ,SS/WE15-35,50 円,remaining:◯
0,新世界へ,SS/WE15-24,180 円,remaining:◯
0,ぶつかる想い,SS/WE15-25,320 円,remaining:◯
0,次の願いの結実まで,SS/WE15-36,120 円,remaining:8pcs
0,悠二の消えた日 シャナ(ホロ),SS/WE15-01,120 円,remaining:1pcs
