,card_name,card_num,price,status
0,“ガングニール”響(サイン入り),SG/W52-002SP,"3,980 円",remaining:×
0,【裂空・亜リiす:心】切歌(サイン入り),SG/W52-021SP,"4,980 円",remaining:×
0,【γ式・卍火車:技】調(サイン入り),SG/W52-022SP,"3,980 円",remaining:×
0,【BILLION MAIDEN:巧】クリス(サイン入り),SG/W52-052SP,"3,980 円",remaining:×
0,【EMPRESS†REBELLION:力】マリア(サイン入り),SG/W52-054SP,"3,480 円",remaining:1pcs
0,【蒼ノ一閃 滅破:心】翼(サイン入り),SG/W52-083SP,"6,980 円",remaining:×
0,“神獣鏡”未来,SG/W52-001R,420 円,remaining:5pcs
0,【我流・撃槍烈破:体】響,SG/W52-005R,500 円,remaining:4pcs
0,【非常Σ式・禁月輪:巧】調,SG/W52-023R,320 円,remaining:1pcs
0,“イガリマ”切歌,SG/W52-027R,320 円,remaining:×
0,【ULTIMATE∞COMET:技】奏,SG/W52-053R,420 円,remaining:2pcs
0,【TORTURE † DAGGER:体】マリア,SG/W52-055R,320 円,remaining:1pcs
0,“アガートラーム”セレナ,SG/W52-059R,420 円,remaining:3pcs
0,“イチイバル”クリス,SG/W52-060R,"1,280 円",remaining:×
0,【天ノ逆鱗:力】翼,SG/W52-087R,500 円,remaining:8pcs
0,【我流・星流撃槍:心】響,SG/W52-004S,220 円,remaining:×
0,【夏のお出かけ】響＆翼,SG/W52-006S,780 円,remaining:1pcs
0,守るべき場所 未来,SG/W52-007S,180 円,remaining:5pcs
0,【対鎌・螺Pうn痛ｴる:巧】切歌,SG/W52-024S,320 円,remaining:6pcs
0,“シュルシャガナ”調,SG/W52-025S,320 円,remaining:3pcs
0,四大元素を操る者 キャロル,SG/W52-026S,420 円,remaining:×
0,私服のクリス,SG/W52-057S,420 円,remaining:5pcs
0,“アガートラーム”マリア,SG/W52-058S,220 円,remaining:4pcs
0,“天羽々斬”翼,SG/W52-084S,320 円,remaining:1pcs
0,【息抜きデート】調＆エルフナイン,SG/W52-085S,420 円,remaining:2pcs
0,【翼を休める場所】奏&翼,SG/W52-086S,500 円,remaining:7pcs
0,“神獣鏡”未来,SG/W52-001,120 円,remaining:◯
0,“ガングニール”響,SG/W52-002,320 円,remaining:10pcs
0,【裂空・亜リiす:心】切歌,SG/W52-021,180 円,remaining:◯
0,【γ式・卍火車:技】調,SG/W52-022,320 円,remaining:◯
0,【BILLION MAIDEN:巧】クリス,SG/W52-052,220 円,remaining:◯
0,【ULTIMATE∞COMET:技】奏,SG/W52-053,120 円,remaining:◯
0,【EMPRESS † REBELLION:力】マリア,SG/W52-054,120 円,remaining:◯
0,【蒼ノ一閃滅破:心】翼,SG/W52-083,580 円,remaining:◯
0,リディアンの制服 未来,SG/W52-003,120 円,remaining:◯
0,【我流・星流撃槍:心】響,SG/W52-004,120 円,remaining:×
