,card_name,card_num,price,status
0,特別な人 ヒナ(サイン入り),TRV/S92-002SSP,"14,800 円",remaining:1pcs
0,勇気をありがとう タケミチ(サイン入り),TRV/S92-003SSP,"5,980 円",remaining:1pcs
0,特別な人 エマ(サイン入り),TRV/S92-004SSP,"9,980 円",remaining:1pcs
0,壱番隊の灯 千冬(サイン入り),TRV/S92-033SSP,"7,980 円",remaining:1pcs
0,不良の時代 マイキー(サイン入り),TRV/S92-035SSP,"34,800 円",remaining:2pcs
0,創設メンバー 場地(サイン入り),TRV/S92-078SSP,"7,980 円",remaining:1pcs
0,創設メンバー 三ツ谷(サイン入り),TRV/S92-079SSP,"5,980 円",remaining:×
0,守ってあげる 日向(サイン入り),TRV/S92-T02SP,"12,800 円",remaining:×
0,タイマン買ってくれよ タケミチ(サイン入り),TRV/S92-T03SP,"2,980 円",remaining:6pcs
0,君が助かる未来 タケミチ&ヒナ(箔押し入り),TRV/S92-001TRV,"2,480 円",remaining:×
0,何度失敗しても タケミチ(箔押し入り),TRV/S92-007TRV,"2,980 円",remaining:2pcs
0,いつも急に来るね ヒナ(箔押し入り),TRV/S92-012TRV,"1,480 円",remaining:1pcs
0,不良の道 ドラケン(箔押し入り),TRV/S92-034TRV,"2,480 円",remaining:5pcs
0,こんな毎日が マイキー&ドラケン(箔押し入り),TRV/S92-036TRV,"6,980 円",remaining:×
0,オレの宝 場地(箔押し入り),TRV/S92-037TRV,"3,980 円",remaining:2pcs
0,半分コ 場地&千冬(箔押し入り),TRV/S92-041TRV,"1,980 円",remaining:3pcs
0,いねぇよなぁ!!? マイキー(箔押し入り),TRV/S92-042TRV,"3,480 円",remaining:4pcs
0,できねー約束 千冬&場地(箔押し入り),TRV/S92-044TRV,"1,980 円",remaining:3pcs
0,絶っ対ぇ折れねぇから タケミチ(箔押し入り),TRV/S92-046TRV,980 円,remaining:6pcs
0,攻めあるのみ ドラケン(箔押し入り),TRV/S92-047TRV,"1,480 円",remaining:◯
0,創設メンバー 一虎(箔押し入り),TRV/S92-080TRV,"1,480 円",remaining:6pcs
0,ドラケン&三ツ谷(箔押し入り),TRV/S92-082TRV,"1,780 円",remaining:6pcs
0,最後まで一緒 場地&一虎(箔押し入り),TRV/S92-084TRV,"1,480 円",remaining:5pcs
0,ファーストキス,TRV/S92-029R,320 円,remaining:×
0,タイムリープ,TRV/S92-030R,220 円,remaining:5pcs
0,人を想う“心”,TRV/S92-073R,420 円,remaining:×
0,不良の時代,TRV/S92-074R,500 円,remaining:1pcs
0,初めて付いて行こうと思った人,TRV/S92-075R,420 円,remaining:8pcs
0,オマエを許す,TRV/S92-098R,220 円,remaining:◯
0,一人一人がみんなを守るチーム,TRV/S92-099R,320 円,remaining:3pcs
0,オレらの全てをオマエに預ける,TRV/S92-100R,320 円,remaining:10pcs
0,わからない女心 エマ,TRV/S92-T04R,500 円,remaining:5pcs
0,初めての敬語 千冬,TRV/S92-T07R,680 円,remaining:5pcs
0,みんな分かってくれるよ 三ツ谷,TRV/S92-T12R,500 円,remaining:6pcs
0,特攻隊 一虎,TRV/S92-T14R,500 円,remaining:4pcs
0,壱番隊隊長 場地,TRV/S92-T17R,500 円,remaining:6pcs
0,一人で戦況を変える ドラケン,TRV/S92-T18R,"1,480 円",remaining:1pcs
0,大事にしてやれよ マイキー,TRV/S92-T19R,"9,980 円",remaining:1pcs
0,オマエもついてこい,TRV/S92-T20R,"1,980 円",remaining:×
0,お祭り ドラケン&マイキー,TRV/S92-005S,220 円,remaining:6pcs
0,戦況を変える ドラケン,TRV/S92-006S,120 円,remaining:◯
0,お子様セット マイキー,TRV/S92-008S,500 円,remaining:1pcs
0,仲間思い アッくん,TRV/S92-017S,80 円,remaining:◯
0,トリガー ナオト,TRV/S92-018S,220 円,remaining:7pcs
0,兄貴的な存在 三ツ谷,TRV/S92-038S,220 円,remaining:6pcs
0,カスリ傷 場地,TRV/S92-039S,500 円,remaining:×
0,ドラケン&マイキー&タケミチ,TRV/S92-040S,320 円,remaining:4pcs
0,総長 マイキー,TRV/S92-043S,320 円,remaining:×
0,殴れねー 千冬,TRV/S92-045S,180 円,remaining:◯
0,揺るぎない忠誠 千冬,TRV/S92-048S,320 円,remaining:1pcs
0,伍番隊隊長 ムーチョ,TRV/S92-049S,500 円,remaining:×
0,罪と罰 半間,TRV/S92-051S,220 円,remaining:5pcs
0,参番隊副隊長 ぺーやん,TRV/S92-052S,780 円,remaining:×
0,謎に包まれた男 稀咲,TRV/S92-054S,180 円,remaining:◯
0,遺志 タケミチ&千冬,TRV/S92-056S,180 円,remaining:6pcs
0,誰も負けねぇ マイキー,TRV/S92-057S,180 円,remaining:◯
0,参番隊隊長 パーちん,TRV/S92-058S,980 円,remaining:×
0,肆番隊隊長 スマイリー,TRV/S92-059S,320 円,remaining:×
