,card_name,card_num,price,status
0,雪辱を果たすシオン (サイン入り),TSK/S70-003SP,"6,980 円",remaining:×
0,一族の姫 シュナ (サイン入り),TSK/S70-031SP,"9,980 円",remaining:×
0,“竜魔人” ミリム (サイン入り),TSK/S70-033SP,"14,800 円",remaining:×
0,魔物達のあるじ リムル (サイン入り),TSK/S70-064SP,"7,980 円",remaining:×
0,“爆炎の支配者” シズ (サイン入り),TSK/S70-065SP,"9,980 円",remaining:×
0,リムル=テンペスト(サイン入り),TSK/S70-T01SP,"39,800 円",remaining:×
0,迸る炎 シズ(サイン入り),TSK/S70-T18SP,"9,980 円",remaining:×
0,戦いの後 リムル (サイン入り),TSK/S70-001SEC,"24,800 円",remaining:×
0,継ぐ者 リムル (サイン入り),TSK/S70-002SEC,"6,980 円",remaining:×
0,メグルモノ,TSK/S70-028R,180 円,remaining:◯
0,圧倒的な一撃,TSK/S70-029R,220 円,remaining:2pcs
0,挨拶がわりに,TSK/S70-059R,220 円,remaining:6pcs
0,新たなる力,TSK/S70-060R,320 円,remaining:×
0,伝説の英雄,TSK/S70-097R,"2,480 円",remaining:◯
0,窮余の一策,TSK/S70-099R,180 円,remaining:6pcs
0,“捕食者” リムル,TSK/S70-T08R,"2,980 円",remaining:8pcs
0,仲間を求めて シズ,TSK/S70-T11R,220 円,remaining:4pcs
0,忠誠心 ランガ,TSK/S70-T16R,320 円,remaining:2pcs
0,一騎当千 シオン,TSK/S70-008S,320 円,remaining:×
0,共に歩む道 リムル,TSK/S70-009S,420 円,remaining:1pcs
0,謎の悪魔 クロ,TSK/S70-010S,220 円,remaining:6pcs
0,中身は子供? ミリム,TSK/S70-032S,"1,980 円",remaining:×
0,鬼人の力 ベニマル,TSK/S70-034S,180 円,remaining:1pcs
0,共に歩む道 シズ,TSK/S70-037S,180 円,remaining:6pcs
0,逆鱗 ミリム,TSK/S70-038S,180 円,remaining:8pcs
0,みんなの為に シュナ,TSK/S70-040S,320 円,remaining:×
0,追撃 ミリム,TSK/S70-041S,320 円,remaining:7pcs
0,日本での記憶 シズ,TSK/S70-066S,"1,480 円",remaining:×
0,フィルトウッド王国での一件 シズ,TSK/S70-067S,220 円,remaining:◯
0,一心同体のパートナー リムル,TSK/S70-068S,120 円,remaining:◯
0,“威圧” ランガ,TSK/S70-070S,180 円,remaining:10pcs
0,秘策 リムル,TSK/S70-072S,220 円,remaining:9pcs
0,静かなる怒り ソウエイ,TSK/S70-073S,220 円,remaining:5pcs
0,最後の旅 シズ,TSK/S70-075S,680 円,remaining:10pcs
0,抗魔の仮面,TSK/S70-095S,420 円,remaining:7pcs
0,異世界からの転生者 リムル,TSK/S70-T04S,180 円,remaining:10pcs
0,名付け,TSK/S70-T09S,180 円,remaining:◯
0,戦いの後 リムル,TSK/S70-001,"2,980 円",remaining:◯
0,継ぐ者 リムル,TSK/S70-002,80 円,remaining:◯
0,雪辱を果たすシオン,TSK/S70-003,220 円,remaining:◯
0,一族の姫 シュナ,TSK/S70-031,220 円,remaining:×
0,中身は子供? ミリム,TSK/S70-032,780 円,remaining:◯
0,“竜魔人” ミリム,TSK/S70-033,"1,280 円",remaining:10pcs
0,鬼人の力 ベニマル,TSK/S70-034,80 円,remaining:◯
0,魔物達のあるじ リムル,TSK/S70-064,420 円,remaining:◯
0,“爆炎の支配者” シズ,TSK/S70-065,"1,780 円",remaining:6pcs
0,日本での記憶 シズ,TSK/S70-066,320 円,remaining:◯
0,居合の一撃 ハクロウ,TSK/S70-004,80 円,remaining:◯
0,尊敬の念 エレン,TSK/S70-005,120 円,remaining:◯
0,“大森林の管理者” トレイニー,TSK/S70-006,80 円,remaining:◯
0,“武士” シオン,TSK/S70-007,50 円,remaining:◯
0,一騎当千 シオン,TSK/S70-008,50 円,remaining:◯
0,共に歩む道 リムル,TSK/S70-009,50 円,remaining:◯
0,謎の悪魔 クロ,TSK/S70-010,80 円,remaining:◯
0,“豚頭魔王” ゲルド,TSK/S70-011,80 円,remaining:◯
0,天からの一撃 リムル,TSK/S70-035,180 円,remaining:◯
0,戦意喪失 ミリム,TSK/S70-036,50 円,remaining:◯
