,card_name,card_num,price,status
0,秘書としての誇り シオン(サイン入り),TSK/S101-001SP,"4,980 円",remaining:×
0,全てを穿つ光 リムル(サイン入り),TSK/S101-002SP,"7,980 円",remaining:×
0,解き放たれた封印 ヴェルドラ(サイン入り),TSK/S101-026SP,"2,980 円",remaining:3pcs
0,薄紅色の慈悲 シュナ(サイン入り),TSK/S101-044SP,"12,800 円",remaining:3pcs
0,異次元の威力 ミリム(サイン入り),TSK/S101-045SP,"9,980 円",remaining:1pcs
0,厄災をも燼滅せし黒炎 ベニマル(サイン入り),TSK/S101-046SP,"5,980 円",remaining:2pcs
0,自由を告げる鼓動 ミュウラン(サイン入り),TSK/S101-077SP,"14,800 円",remaining:2pcs
0,“新星”魔王 リムル(サイン入り),TSK/S101-047SEC,"9,980 円",remaining:×
0,笑って暮らせる世界の為に リムル(サイン入り),TSK/S101-076SEC,"39,800 円",remaining:×
0,晴天に降る光の雨,TSK/S101-022R,500 円,remaining:×
0,2年越しの邂逅,TSK/S101-042R,320 円,remaining:1pcs
0,魂復する奇跡の秘術,TSK/S101-072R,500 円,remaining:×
0,闇を照らす黒炎,TSK/S101-074R,420 円,remaining:×
0,一生を捧げる愛の言葉,TSK/S101-098R,"2,480 円",remaining:4pcs
0,帰りを待つ仲間たちの元へ,TSK/S101-099R,420 円,remaining:5pcs
0,ドキドキクッキング シオン,TSK/S101-003S,220 円,remaining:×
0,3.14％の希望 リムル,TSK/S101-004S,220 円,remaining:×
0,忠実なる部下 ディアブロ,TSK/S101-005S,220 円,remaining:×
0,危機的状況 シオン,TSK/S101-006S,180 円,remaining:◯
0,好戦的 シオン,TSK/S101-007S,220 円,remaining:×
0,絶体絶命 リムル,TSK/S101-008S,220 円,remaining:×
0,取り返しのつかない後悔 リムル,TSK/S101-009S,180 円,remaining:◯
0,逃さぬ鋭さ ハクロウ,TSK/S101-011S,180 円,remaining:◯
0,ごはん中 ラミリス,TSK/S101-013S,220 円,remaining:×
0,溢れ出るカリスマ ディアブロ,TSK/S101-016S,120 円,remaining:◯
0,嬉し恥ずかし リムル,TSK/S101-025S,180 円,remaining:◯
0,ドキドキ初対面 ヴェルドラ,TSK/S101-027S,180 円,remaining:◯
0,華麗なる変身 ルミナス,TSK/S101-028S,420 円,remaining:×
0,時を超えた友情 リムル,TSK/S101-029S,120 円,remaining:◯
0,固い友情 ヴェルドラ,TSK/S101-030S,120 円,remaining:◯
0,冷静沈着な女剣士 ヒナタ,TSK/S101-031S,180 円,remaining:9pcs
0,友に授ける依り代 リムル,TSK/S101-033S,120 円,remaining:10pcs
0,時を超えた友情 ヴェルドラ,TSK/S101-034S,120 円,remaining:◯
0,作戦通り ミリム,TSK/S101-048S,500 円,remaining:×
0,真なる魔王への覚醒 リムル,TSK/S101-049S,320 円,remaining:3pcs
0,新たなる門出 リムル,TSK/S101-050S,120 円,remaining:8pcs
0,突然の申し出 シュナ,TSK/S101-051S,680 円,remaining:6pcs
0,静かなる怒り シュナ,TSK/S101-052S,680 円,remaining:×
0,迫られた選択 ミリム,TSK/S101-053S,420 円,remaining:2pcs
0,強者の元へ ベニマル,TSK/S101-054S,"2,980 円",remaining:×
0,ちょっとしたど忘れ ミリム,TSK/S101-056S,220 円,remaining:8pcs
0,長い因縁の決着 リムル,TSK/S101-058S,320 円,remaining:3pcs
0,3.14％の奇跡,TSK/S101-070S,220 円,remaining:◯
0,帰るべき大切な場所 ソウエイ,TSK/S101-078S,320 円,remaining:4pcs
0,着せ替え大作戦 リムル,TSK/S101-079S,320 円,remaining:1pcs
0,お熱い関係 ヨウム&ミュウラン,TSK/S101-080S,500 円,remaining:×
0,影に潜む護衛 ランガ,TSK/S101-081S,180 円,remaining:5pcs
0,大切な仲間の元へ リムル,TSK/S101-082S,320 円,remaining:7pcs
0,優秀な右腕 ソーカ,TSK/S101-083S,320 円,remaining:8pcs
0,類い稀なる戦闘センス ゴブタ,TSK/S101-088S,120 円,remaining:◯
0,秘書としての誇り シオン,TSK/S101-001,220 円,remaining:◯
0,全てを穿つ光 リムル,TSK/S101-002,120 円,remaining:◯
0,嬉し恥ずかし リムル,TSK/S101-025,120 円,remaining:◯
0,解き放たれた封印 ヴェルドラ,TSK/S101-026,180 円,remaining:◯
0,薄紅色の慈悲 シュナ,TSK/S101-044,"1,980 円",remaining:◯
0,異次元の威力 ミリム,TSK/S101-045,420 円,remaining:×
0,厄災をも燼滅せし黒炎 ベニマル,TSK/S101-046,180 円,remaining:◯
0,“新星”魔王リムル,TSK/S101-047,180 円,remaining:◯
0,笑って暮らせる世界の為に リムル,TSK/S101-076,220 円,remaining:◯
0,自由を告げる鼓動 ミュウラン,TSK/S101-077,"2,480 円",remaining:◯
0,ドキドキクッキング シオン,TSK/S101-003,80 円,remaining:◯
0,3.14％の希望 リムル,TSK/S101-004,120 円,remaining:◯
0,忠実なる部下 ディアブロ,TSK/S101-005,120 円,remaining:◯
0,危機的状況 シオン,TSK/S101-006,120 円,remaining:◯
0,好戦的 シオン,TSK/S101-007,80 円,remaining:◯
0,ドキドキ初対面 ヴェルドラ,TSK/S101-027,120 円,remaining:◯
0,華麗なる変身 ルミナス,TSK/S101-028,120 円,remaining:◯
0,時を超えた友情 リムル,TSK/S101-029,80 円,remaining:◯
0,固い友情 ヴェルドラ,TSK/S101-030,80 円,remaining:◯
0,冷静沈着な女剣士 ヒナタ,TSK/S101-031,80 円,remaining:◯
0,作戦通り ミリム,TSK/S101-048,180 円,remaining:◯
0,真なる魔王への覚醒 リムル,TSK/S101-049,80 円,remaining:◯
0,新たなる門出 リムル,TSK/S101-050,120 円,remaining:◯
0,突然の申し出 シュナ,TSK/S101-051,120 円,remaining:◯
0,静かなる怒り シュナ,TSK/S101-052,220 円,remaining:◯
0,迫られた選択 ミリム,TSK/S101-053,120 円,remaining:◯
0,強者の元へ ベニマル,TSK/S101-054,320 円,remaining:◯
0,帰るべき大切な場所 ソウエイ,TSK/S101-078,120 円,remaining:◯
0,着せ替え大作戦 リムル,TSK/S101-079,180 円,remaining:◯
0,お熱い関係 ヨウム&ミュウラン,TSK/S101-080,180 円,remaining:◯
0,影に潜む護衛 ランガ,TSK/S101-081,120 円,remaining:◯
0,大切な仲間の元へ リムル,TSK/S101-082,120 円,remaining:◯
0,絶体絶命 リムル,TSK/S101-008,50 円,remaining:◯
0,取り返しのつかない後悔 リムル,TSK/S101-009,50 円,remaining:◯
0,希望を託す者 エレン,TSK/S101-010,50 円,remaining:◯
0,逃さぬ鋭さ ハクロウ,TSK/S101-011,50 円,remaining:◯
